University,U.S. News Rankings,College,Majors in that college,College Specific Acceptance Rate,Description for Majors
Brown University,13,The College — Humanities,Africana Studies,6.40%,"Interdisciplinary study of the histories, cultures, and political traditions of African and African-diasporic peoples."
,,,American Studies,6.20%,"Interdisciplinary examination of U.S. history, culture, politics, and society."
,,,Archaeology and the Ancient World,6.70%,"Study of past human societies through material remains, with concentrations on the Mediterranean, Near East, and Americas."
,,,Classics,6.80%,"Study of the languages, literatures, history, and material culture of ancient Greece and Rome."
,,,Comparative Literature,6.50%,Cross-linguistic and cross-cultural study of literature with emphasis on theory and translation.
,,,Contemplative Studies,6.30%,"Brown signature interdisciplinary concentration examining contemplative experience across science, humanities, and the arts."
,,,Critical Native American and Indigenous Studies,6.60%,"Interdisciplinary study of Indigenous histories, sovereignty, and contemporary politics."
,,,Early Modern World,6.90%,"Interdisciplinary concentration in the global early modern era (~1450–1800), spanning history, art, literature, and religion."
,,,East Asian Studies,6.50%,"Interdisciplinary study of the languages, cultures, and histories of China, Japan, Korea, and the broader region."
,,,Egyptology and Assyriology,7.00%,"Study of the languages, texts, and cultures of ancient Egypt and Mesopotamia."
,,,English,6.10%,Study of literatures in English across periods and genres.
,,,Ethnic Studies,6.40%,"Comparative interdisciplinary study of race, ethnicity, and racialization in the U.S. and globally."
,,,French and Francophone Studies,6.80%,"Study of the languages, literatures, and cultures of France and the Francophone world."
,,,Gender and Sexuality Studies,6.40%,"Interdisciplinary study of gender, sexuality, and their intersections with race, class, and power."
,,,German Studies,6.90%,"Study of German language, literature, and the cultural and intellectual history of the German-speaking world."
,,,Hispanic Literatures and Cultures,6.70%,Study of Spanish-language literatures and cultures across Spain and Latin America.
,,,History,6.10%,"Study of the human past across periods, regions, and themes."
,,,History of Art and Architecture,6.40%,Critical and historical study of art and the built environment across time periods and geographies.
,,,Italian Studies,6.90%,"Study of Italian language, literature, and culture."
,,,Judaic Studies,6.80%,"Interdisciplinary study of Jewish history, texts, languages, religion, and culture."
,,,Latin American and Caribbean Studies,6.60%,"Interdisciplinary study of the histories, cultures, and politics of Latin America and the Caribbean."
,,,Linguistics,5.90%,"Scientific study of language structure, meaning, sound, and acquisition."
