University,U.S. News Rankings,College,Majors in that college,College Specific Acceptance Rate,Description for Majors
California Institute of Technology,11,Biology and Biological Engineering (BBE),Bioengineering,3.30%,"Application of engineering to biology and medicine, integrating molecular biology with quantitative and computational tools."
,,,Biology,3.50%,"Broad study of living systems from molecules and cells to organisms and populations, with strong research integration."
,,,Computation and Neural Systems,3.20%,"Interdisciplinary option combining neuroscience, computer science, and engineering to study how brains and intelligent systems compute."
,,,Neurobiology,3.40%,"Study of the nervous system across molecular, cellular, systems, and behavioral levels."
,,Chemistry and Chemical Engineering (CCE),Chemical Engineering,3.50%,"Engineering of chemical and biomolecular processes, including reaction engineering, transport phenomena, and materials."
,,,Chemistry,3.80%,"Study of matter and its transformations across organic, inorganic, physical, and analytical chemistry, with substantial research participation."
,,,Environmental Science and Engineering (Chemistry track),3.90%,"Interdisciplinary option in environmental systems with a chemistry emphasis, administered through CCE."
,,Engineering and Applied Science (EAS),Applied and Computational Mathematics,3.20%,"Mathematics applied to scientific and engineering problems with strong training in numerical methods, modeling, and computation."
,,,Applied Physics,3.50%,"Study of physics with an engineering orientation including optics, condensed matter, plasmas, and quantum devices."
,,,"Business, Economics, and Management",3.80%,"Quantitative major combining economics, finance, accounting, and management science."
,,,Computer Science,3.00%,"Foundations and applications of computing including algorithms, systems, theory, AI, and software."
,,,Electrical Engineering,3.20%,"Study of circuits, signals, communications, control, electromagnetics, semiconductor devices, and electronic systems."
,,,Engineering and Applied Science (General),3.60%,Customizable engineering option allowing students to design an interdisciplinary engineering program in consultation with faculty.
,,,Information and Data Sciences,3.10%,"Option focused on the mathematical, statistical, and computational foundations of data science and machine learning."
,,,Materials Science,3.70%,"Study of the structure, properties, and processing of metals, ceramics, polymers, semiconductors, and nanomaterials."
,,,Mechanical Engineering,3.40%,"Study of mechanics, thermodynamics, fluids, materials, design, robotics, and aerospace systems."
,,,Structural Mechanics,3.80%,"Engineering option focused on the mechanics of solids and structures, including elasticity, plasticity, and failure analysis."
,,Geological and Planetary Sciences (GPS),Astrophysics,3.70%,"Quantitative study of stars, galaxies, cosmology, and high-energy astrophysical phenomena (offered through the GPS division alongside PMA)."
,,,Environmental Science and Engineering (Physics track),3.90%,"Interdisciplinary option in environmental systems with a physics emphasis, administered through GPS."
,,,Geological and Planetary Sciences,4.00%,"Study of Earth's and other planets' physical and chemical processes, geology, geophysics, and planetary science."
,,Humanities and Social Sciences (HSS),Economics,3.90%,"Study of how individuals, firms, and societies allocate resources, with strong quantitative and game-theoretic emphasis."
,,,English,4.30%,"Study of literatures in English with attention to form, history, and theory."
,,,History,4.30%,"Study of the human past across periods, regions, and themes."
,,,History and Philosophy of Science,4.20%,Interdisciplinary option examining the history and philosophy of scientific thought and practice.
,,,Philosophy,4.30%,"Study of fundamental questions in metaphysics, epistemology, ethics, logic, and the philosophy of science."
,,,Political Science,4.10%,"Study of political institutions, behavior, theory, and formal political analysis, with strong quantitative training."
,,,Visual Culture,4.20%,"Interdisciplinary option in visual studies, art history, and the cultural analysis of images and media."
,,"Physics, Mathematics and Astronomy (PMA)",Mathematics,3.50%,"Pure mathematics including analysis, algebra, geometry, topology, and number theory; one of the most research-intensive undergraduate math programs in the U.S."
,,,Physics,3.40%,"Rigorous study of classical mechanics, electromagnetism, quantum mechanics, statistical mechanics, and contemporary physics, with significant research integration."
