University,U.S. News Rankings,College,Majors in that college,College Specific Acceptance Rate,Description for Majors
CMU,20,College of Fine Arts (CFA),"Bachelor of Architecture (B.Arch, 5-year, NAAB-accredited) — School of Architecture",17.00%,"A professional, NAAB-accredited five-year design degree covering studio practice, structural systems, building science, urban context, and computational design across history, theory, and sustainable practice."
,,,Bachelor of Arts in Architecture — School of Architecture,19.00%,"A four-year liberal-arts-oriented architecture degree that emphasizes design culture, history, and theory while leaving room for double majors and broader humanities study."
,,,Bachelor of Fine Arts in Art — School of Art,13.00%,"Studio-based BFA spanning drawing, painting, printmaking, photography, sculpture, installation, and electronic and time-based media, taught through critique-driven studio courses and critical-studies seminars."
,,,Bachelor of Arts in Art — School of Art,15.00%,"A more flexible four-year art degree that pairs studio practice with a stronger liberal-arts foundation, allowing concentrations and double majors outside studio art."
,,,Bachelor of Design (BDes) — School of Design,6.50%,"Studio-based design degree with tracks in Communications, Products, and Environments, combining human-centered research methods, prototyping, and design-for-interactions work."
,,,Bachelor of Fine Arts in Drama — School of Drama,2.00%,"Conservatory-style BFA with options in Acting / Music Theater, Design (sets, costumes, lighting, sound), Directing, Dramaturgy, and Production Technology and Management."
,,,Bachelor of Fine Arts in Composition — School of Music,14.00%,"Trains student composers in tonal, post-tonal, and electroacoustic writing through theory, analysis, orchestration, and ensemble collaboration."
,,,Bachelor of Fine Arts in Electronic Music — School of Music,16.00%,"Focuses on computer music composition, sound synthesis, audio programming, and electroacoustic performance, with access to dedicated music technology studios."
,,,Bachelor of Fine Arts in Instrumental Performance — School of Music,18.00%,"Conservatory-level training in orchestral and chamber instruments through private studio lessons, ensemble work, music theory, and performance pedagogy."
,,,Bachelor of Fine Arts in Piano Performance — School of Music,12.00%,"Intensive piano performance degree combining solo recital work, collaborative piano, and core musicianship in theory and music history."
,,,Bachelor of Fine Arts in Vocal Performance — School of Music,13.00%,"Trains singers in classical and operatic repertoire through studio voice, diction, opera workshop, and language coursework supporting performance practice."
,,,"Bachelor of Science in Music and Technology — School of Music, joint with SCS and ECE",5.50%,"Integrates music performance and theory with computer science and electrical engineering, preparing students for careers in audio engineering, music software, and music tech research."
,,Tepper School of Business,Bachelor of Business Administration — Accounting Concentration,11.50%,"BSBA core paired with financial accounting, managerial accounting, auditing, and reporting electives that prepare students for CPA-track careers and corporate finance roles."
,,,Bachelor of Business Administration — Business Analytics and Technologies Concentration,9.50%,"Combines management fundamentals with data analytics, optimization, and information systems coursework, training students to apply quantitative methods to business decisions."
,,,Bachelor of Business Administration — Entrepreneurship Concentration,11.00%,"Pairs the business core with venture design, new-product development, and innovation strategy, often combined with engineering or design coursework."
,,,Bachelor of Business Administration — Finance Concentration,9.00%,"Builds on the quantitative Tepper core with corporate finance, investments, financial markets, and derivatives coursework rooted in mathematical and computational methods."
,,,Bachelor of Business Administration — Global Economics and Business Concentration,10.50%,"Combines microeconomics, macroeconomics, and international business strategy to study global trade, multinational operations, and cross-border policy."
,,,Bachelor of Business Administration — Marketing Management Concentration,11.50%,"Covers consumer behavior, branding, pricing, marketing analytics, and digital strategy through quantitative and behavioral approaches characteristic of the Tepper curriculum."
,,,Bachelor of Business Administration — Operations Management Concentration,10.50%,"Focuses on supply chain, manufacturing systems, service operations, and process analytics, leveraging Tepper's strength in optimization and management science."
,,,Bachelor of Business Administration — Strategic Management Concentration,11.00%,"Studies corporate strategy, competitive dynamics, and organizational design through case work and management-science frameworks."
,,,"Bachelor of Science in Computational Finance, joint with Mathematical Sciences",4.50%,"A joint Tepper and Mellon College of Science track combining advanced mathematics, statistics, and finance for careers in quantitative trading, risk, and financial engineering."
