University,U.S. News Rankings,College,Majors in that college,College Specific Acceptance Rate,Description for Majors
Columbia University,15,Columbia College,African American Studies,5.00%,"Interdisciplinary study of the histories, cultures, politics, and intellectual traditions of people of African descent in the Americas, with attention to race, identity, and social transformation."
,,,American Studies,4.90%,"Interdisciplinary examination of U.S. history, culture, politics, and society, drawing on literature, history, sociology, and the arts."
,,,Anthropology,4.80%,"Comparative study of human societies, cultures, and biological evolution through ethnography, archaeology, linguistics, and biological anthropology."
,,,Applied Mathematics,3.70%,"Mathematics applied to problems in the physical, biological, social, and engineering sciences, with emphasis on modeling, computation, and analysis."
,,,Archaeology,5.20%,"Study of past human societies through material remains, integrating anthropology, classics, and the natural sciences."
,,,Architecture,4.40%,"Liberal-arts study of the built environment combining design, history, theory, and urban studies; a preprofessional pathway to graduate study in architecture."
,,,Art History,5.00%,"Critical study of works of art and visual culture across time periods and geographies, with attention to style, context, and theory."
,,,Art History and Visual Arts,4.80%,"Combined major integrating art-historical scholarship with studio practice across painting, sculpture, photography, video, and digital media."
,,,Astronomy,4.20%,"Observational and theoretical study of celestial objects, the structure of the universe, and the physical principles governing them."
,,,Astrophysics,4.00%,"Quantitative major combining physics, mathematics, and astronomy to study stars, galaxies, cosmology, and high-energy astrophysical phenomena."
,,,Biochemistry,3.70%,"Study of the molecular basis of life — proteins, nucleic acids, metabolism, and cellular regulation — at the intersection of biology and chemistry."
,,,Biology,3.80%,"Broad study of living systems from molecules and cells to organisms, populations, and ecosystems."
,,,Biophysics,3.80%,Interdisciplinary major applying physical principles and quantitative methods to biological systems and molecular structure.
,,,Chemical Physics,4.00%,"Combined study of chemistry and physics focused on the physical principles underlying chemical phenomena, including quantum mechanics, spectroscopy, and statistical mechanics."
,,,Chemistry,4.20%,"Study of matter and its transformations across organic, inorganic, physical, and analytical chemistry, with significant laboratory work."
,,,Classics: Classical and Ancient Civilizations,5.30%,"Track within Classics emphasizing the cultures, histories, and material remains of ancient Greece, Rome, and the broader Mediterranean world."
,,,Classics: Classical Languages and Literatures,5.40%,Track within Classics emphasizing advanced study of Greek and/or Latin language and literature.
,,,Classics: Classical Reception and the Classical Tradition,5.30%,"Track within Classics tracing the influence of Greco-Roman antiquity on later literature, art, philosophy, and culture."
,,,Classics: Greek,5.50%,"Track within Classics focused on the language, literature, and culture of ancient Greece."
,,,Classics: Latin,5.50%,"Track within Classics focused on Latin language, literature, and Roman culture."
,,,Climate and Sustainability,4.30%,"Interdisciplinary major examining the science, policy, and human dimensions of climate change and sustainable development."
,,,Climate System Science,4.10%,"Quantitative study of the physical climate system — atmosphere, oceans, cryosphere, and biosphere — and how it is changing."
,,,Cognitive Science,3.90%,"Interdisciplinary study of mind and intelligence drawing on psychology, neuroscience, linguistics, philosophy, and computer science."
,,,Comparative Literature and Society,4.80%,"Cross-cultural and cross-linguistic study of literature in its social, political, and historical contexts, with strong emphasis on theory and translation."
,,,Computational Biology,3.50%,"Major combining biology, computer science, and statistics to analyze genomic, molecular, and biomedical data."
,,,Computer Science,3.10%,"Foundations and applications of computing — algorithms, systems, theory, AI, and software — offered in both Columbia College and Engineering versions."
,,,Computer Science-Mathematics,3.20%,"Joint major spanning the theoretical foundations shared by computer science and mathematics, including logic, discrete math, and algorithms."
,,,Creative Writing,4.70%,"Workshop-based major in fiction, poetry, and nonfiction craft, supplemented by literary study."
,,,Dance,5.00%,"Major in dance technique, choreography, performance, and dance studies, offered through the Barnard-Columbia dance program."
,,,Data Science,3.20%,"Major combining statistics, computer science, and domain applications focused on data analysis, machine learning, and inference."
,,,Drama and Theatre Arts,4.80%,"Study of theater as text and performance, including dramatic literature, history, theory, acting, directing, and design."
,,,Earth Science,4.70%,"Study of the Earth's physical processes, materials, and history, spanning geology, geochemistry, and geophysics."
,,,East Asian Studies,5.00%,"Interdisciplinary study of the languages, cultures, histories, and societies of China, Japan, Korea, and the broader East Asian region."
,,,Economics,3.40%,"Study of how individuals, firms, and societies allocate resources, with training in microeconomics, macroeconomics, and econometrics."
,,,Economics-Mathematics,3.30%,Joint major combining advanced mathematical methods with economic theory and econometrics.
,,,Economics-Philosophy,3.80%,"Joint major examining economic theory together with philosophical questions about rationality, ethics, and political economy."
,,,Economics-Political Science,3.60%,"Joint major integrating economic analysis with the study of political institutions, policy, and political economy."
,,,Economics-Statistics,3.20%,Joint major coupling economic theory with statistical and econometric methods for empirical research.
,,,English,4.80%,"Study of literatures in English across periods and genres, with attention to literary form, history, and theory."
,,,Environmental Biology,4.30%,"Study of organisms and ecosystems and their responses to environmental change, drawing on ecology, evolution, and conservation biology."
,,,Environmental Chemistry,4.50%,"Application of chemistry to understanding pollutants, biogeochemical cycles, and environmental processes."
,,,Environmental Science,4.50%,Interdisciplinary major combining the natural sciences with policy and human dimensions of environmental challenges.
,,,Ethnicity and Race Studies,5.00%,"Comparative and interdisciplinary study of race and ethnicity in the U.S. and globally, drawing on the Center for the Study of Ethnicity and Race."
,,,Evolutionary Biology of the Human Species,4.40%,"Study of human biological evolution, behavior, and variation through paleoanthropology, primatology, and human genetics."
,,,Film and Media Studies,4.60%,"Critical and historical study of cinema, television, and digital media as cultural forms and industries."
,,,Financial Economics,3.10%,"Major combining economics, statistics, and finance to study asset pricing, corporate finance, and financial markets."
,,,French,5.20%,"Study of French language, literature, and Francophone cultures across Europe, the Americas, Africa, and Asia."
,,,French and Francophone Studies,5.20%,"Interdisciplinary track emphasizing the cultures, histories, and societies of the French-speaking world."
,,,German Literature and Cultural History,5.40%,"Study of German-language literature, philosophy, and cultural history from the medieval period to the present."
,,,Hispanic Studies,5.10%,"Study of the languages, literatures, and cultures of the Spanish-speaking world, including Spain and Latin America."
,,,History,4.80%,"Study of the human past across periods, regions, and themes, with strong training in archival research and historical writing."
,,,History and Theory of Architecture,4.80%,Major focused on the intellectual history of architecture and the theoretical frameworks for understanding the built environment.
,,,Human Rights,4.60%,"Interdisciplinary study of human rights as a normative framework, legal regime, and political practice, drawing on the Institute for the Study of Human Rights."
,,,Information Science,3.40%,"Study of how information is created, organized, retrieved, and used, integrating computing, data, and society."
,,,Italian,5.40%,"Study of Italian language, literature, and culture from the medieval period to the contemporary era."
,,,Latin American and Caribbean Studies,5.00%,"Interdisciplinary study of the histories, cultures, politics, and societies of Latin America and the Caribbean."
,,,Linguistics,4.70%,"Scientific study of language structure, meaning, sound, and acquisition, with strong cognitive-science connections."
,,,Mathematics,3.90%,"Pure mathematics, including analysis, algebra, geometry, topology, and number theory, with options for applied study."
,,,Mathematics-Statistics,3.50%,Joint major combining rigorous mathematical training with probability and statistical theory.
,,,Medical Humanities,4.40%,"Interdisciplinary major examining medicine and health through history, literature, ethics, anthropology, and the arts."
,,,"Middle Eastern, South Asian and African Studies",5.10%,"Interdisciplinary study of the languages, cultures, and histories of the Middle East, South Asia, and Africa."
,,,Music,5.00%,"Study of music history, theory, ethnomusicology, composition, and performance."
,,,Neuroscience and Behavior,3.60%,"Major spanning molecular, cellular, systems, and cognitive neuroscience along with the behavioral sciences."
,,,Philosophy,4.90%,"Study of fundamental questions in metaphysics, epistemology, ethics, logic, and the history of philosophy."
,,,Physics,4.00%,"Rigorous study of classical mechanics, electromagnetism, quantum mechanics, statistical mechanics, and contemporary physics."
,,,Political Science,3.80%,"Study of political institutions, behavior, theory, and international relations, with strong methods training."
,,,Political Science-Statistics,3.50%,Joint major combining political science with statistical methods for empirical political analysis.
,,,Psychology,3.80%,"Scientific study of mind and behavior across cognitive, developmental, social, clinical, and biological psychology."
,,,Regional Studies,5.10%,"Customizable interdisciplinary major focused on a specific world region, combining language, history, and culture."
,,,Religion,5.30%,"Comparative study of religious traditions, texts, practices, and theories of religion across history and cultures."
,,,Russian Language and Culture,5.40%,Major emphasizing advanced Russian language proficiency alongside cultural and historical study.
,,,Russian Literature and Culture,5.40%,Study of Russian literature and its cultural contexts from the medieval period to the present.
,,,Slavic Studies,5.40%,"Interdisciplinary study of the languages, literatures, and cultures of the Slavic world, including Russia, Poland, the Balkans, and the broader region."
,,,Sociology,4.70%,"Study of social structure, inequality, institutions, and change, with strong empirical methods training."
,,,Statistics,3.40%,"Theory and practice of statistical inference, probability, and data analysis, with applications across disciplines."
,,,Sustainable Development,4.20%,"Interdisciplinary major examining the economic, environmental, and social dimensions of sustainable development."
,,,Urban Studies,4.70%,"Interdisciplinary study of cities and urbanization, drawing on architecture, sociology, history, planning, and policy."
,,,Visual Arts,4.80%,"Studio major in painting, drawing, sculpture, photography, printmaking, video, and digital media."
,,,Women's and Gender Studies,5.00%,"Interdisciplinary study of gender, sexuality, and women's lives across history, culture, politics, and the arts."
,,,Yiddish Studies,5.60%,"Study of Yiddish language, literature, and the cultural history of Ashkenazi Jewry."
,,Columbia Engineering (Fu Foundation School of Engineering and Applied Science),Applied Mathematics,3.70%,"Engineering major emphasizing mathematical modeling, analysis, and computation for science and engineering problems."
,,,Applied Physics,3.80%,"Study of physics with an engineering orientation, including optics, condensed matter, plasmas, and quantum devices."
,,,Biomedical Engineering,3.50%,"Application of engineering principles to medicine and biology, including biomechanics, biomaterials, imaging, and biomedical signal and tissue engineering."
,,,Chemical Engineering,3.80%,"Design and analysis of processes that convert raw materials into useful products, with applications in energy, materials, pharmaceuticals, and the environment."
,,,Civil Engineering,4.10%,"Design and analysis of infrastructure systems including structures, transportation, geotechnical engineering, and sustainability of the built environment."
,,,Computer Engineering,3.20%,"Joint program with Computer Science covering hardware-software integration, digital systems, embedded systems, and computer architecture."
,,,Computer Science,3.00%,"Engineering version of the Computer Science major covering algorithms, systems, theory, AI, software, and a chosen depth track."
,,,Earth and Environmental Engineering,4.20%,"Engineering approaches to sustainable use of natural resources, environmental remediation, energy systems, and climate solutions."
,,,Electrical Engineering,3.50%,"Study of circuits, signals, communications, control, electromagnetics, semiconductor devices, and electronic systems."
,,,Industrial Engineering,3.60%,"Design and optimization of complex systems involving people, processes, and technology, including operations, logistics, and analytics."
,,,Materials Science,4.00%,"Study of the structure, properties, and processing of metals, ceramics, polymers, semiconductors, and nanomaterials."
,,,Mechanical Engineering,3.70%,"Study of mechanics, thermodynamics, fluids, materials, design, robotics, and manufacturing."
,,,Mining Engineering,4.60%,"Engineering of the extraction, processing, and sustainable management of mineral resources."
,,,Operations Research,3.30%,"Application of mathematical modeling, optimization, probability, and statistics to decision-making in complex systems."
,,,Operations Research: Analytics,3.10%,"Operations Research track focused on data analytics, statistics, and machine learning for business and engineering decisions."
,,,Operations Research: Engineering Management Systems,3.40%,"Operations Research track integrating engineering, management science, and operations for systems-design problems."
,,,Operations Research: Financial Engineering,2.90%,"Operations Research track focused on quantitative methods for finance, including derivatives, portfolio optimization, and risk management."
,,School of General Studies (GS),African-American Studies,5.00%,"Interdisciplinary study of the histories, cultures, politics, and intellectual traditions of people of African descent in the Americas, with attention to race, identity, and social transformation."
,,,American Studies,4.90%,"Interdisciplinary examination of U.S. history, culture, politics, and society, drawing on literature, history, sociology, and the arts."
,,,Ancient Studies,5.30%,"Interdisciplinary major focused on the languages, literatures, history, and material culture of the ancient world, primarily the Mediterranean and Near East."
,,,Anthropology,4.80%,"Comparative study of human societies, cultures, and biological evolution through ethnography, archaeology, linguistics, and biological anthropology."
,,,Applied Mathematics,3.70%,"Mathematics applied to problems in the physical, biological, social, and engineering sciences, with emphasis on modeling, computation, and analysis."
,,,Archaeology,5.20%,"Study of past human societies through material remains, integrating anthropology, classics, and the natural sciences."
,,,Architecture,4.40%,"Liberal-arts study of the built environment combining design, history, theory, and urban studies; a preprofessional pathway to graduate study in architecture."
,,,Art History,5.00%,"Critical study of works of art and visual culture across time periods and geographies, with attention to style, context, and theory."
,,,Art History and Visual Arts,4.80%,"Combined major integrating art-historical scholarship with studio practice across painting, sculpture, photography, video, and digital media."
,,,Astronomy,4.20%,"Observational and theoretical study of celestial objects, the structure of the universe, and the physical principles governing them."
,,,Astrophysics,4.00%,"Quantitative major combining physics, mathematics, and astronomy to study stars, galaxies, cosmology, and high-energy astrophysical phenomena."
,,,Biochemistry,3.70%,"Study of the molecular basis of life — proteins, nucleic acids, metabolism, and cellular regulation — at the intersection of biology and chemistry."
,,,Biology,3.80%,"Broad study of living systems from molecules and cells to organisms, populations, and ecosystems."
,,,Biophysics,3.80%,Interdisciplinary major applying physical principles and quantitative methods to biological systems and molecular structure.
,,,Chemical Physics,4.00%,"Combined study of chemistry and physics focused on the physical principles underlying chemical phenomena, including quantum mechanics, spectroscopy, and statistical mechanics."
,,,Chemistry,4.20%,"Study of matter and its transformations across organic, inorganic, physical, and analytical chemistry, with significant laboratory work."
,,,Classics,5.40%,"Integrated study of the languages, literatures, history, and cultures of ancient Greece and Rome (GS treats Classics as a single major rather than the five Columbia College sub-tracks)."
,,,Climate and Sustainability,4.30%,"Interdisciplinary major examining the science, policy, and human dimensions of climate change and sustainable development."
,,,Climate System Science,4.10%,"Quantitative study of the physical climate system — atmosphere, oceans, cryosphere, and biosphere — and how it is changing."
,,,Cognitive Science,3.90%,"Interdisciplinary study of mind and intelligence drawing on psychology, neuroscience, linguistics, philosophy, and computer science."
,,,Comparative Literature and Society,4.80%,"Cross-cultural and cross-linguistic study of literature in its social, political, and historical contexts, with strong emphasis on theory and translation."
,,,Computational Biology,3.50%,"Major combining biology, computer science, and statistics to analyze genomic, molecular, and biomedical data."
,,,Computer Science,3.10%,"Foundations and applications of computing — algorithms, systems, theory, AI, and software — offered in both Columbia College and Engineering versions."
,,,Computer Science-Mathematics,3.20%,"Joint major spanning the theoretical foundations shared by computer science and mathematics, including logic, discrete math, and algorithms."
,,,Creative Writing,4.70%,"Workshop-based major in fiction, poetry, and nonfiction craft, supplemented by literary study."
,,,Dance,5.00%,"Major in dance technique, choreography, performance, and dance studies, offered through the Barnard-Columbia dance program."
,,,Data Science,3.20%,"Major combining statistics, computer science, and domain applications focused on data analysis, machine learning, and inference."
,,,Drama and Theatre Arts,4.80%,"Study of theater as text and performance, including dramatic literature, history, theory, acting, directing, and design."
,,,Earth Science,4.70%,"Study of the Earth's physical processes, materials, and history, spanning geology, geochemistry, and geophysics."
,,,East Asian Studies,5.00%,"Interdisciplinary study of the languages, cultures, histories, and societies of China, Japan, Korea, and the broader East Asian region."
,,,Economics,3.40%,"Study of how individuals, firms, and societies allocate resources, with training in microeconomics, macroeconomics, and econometrics."
,,,Economics-Mathematics,3.30%,Joint major combining advanced mathematical methods with economic theory and econometrics.
