University,U.S. News Rankings,College,Majors in that college,College Specific Acceptance Rate,Description for Majors
Cornell University,12,College of Agriculture and Life Sciences (CALS),Agricultural Sciences,10.60%,"Broad major in the science, business, and policy of agriculture and food systems."
,,,Animal Science,9.80%,"Study of the biology, behavior, and management of domestic and companion animals; pre-vet pathway."
,,,Applied Economics and Management (Dyson),4.50%,Cornell's signature undergraduate business major through the Dyson School — admits separately and lives in both CALS and SC Johnson College of Business.
,,,Atmospheric Science,10.20%,"Study of the physics and dynamics of the atmosphere, weather, and climate."
,,,Biological Engineering,7.80%,Application of engineering principles to biological systems; cross-listed with the College of Engineering with shared core but different distribution requirements.
,,,Biological Sciences,8.20%,"Broad study of living systems from molecules to ecosystems; cross-listed with A&S — students choose one of 13+ concentrations such as Genetics, Ecology, Neurobiology, or Computational Biology."
,,,Biology & Society,8.70%,"Interdisciplinary major examining biology together with its social, ethical, and policy dimensions; cross-listed with A&S."
,,,Biometry and Statistics,7.60%,"Statistics applied to biology, agriculture, and the life sciences."
,,,Communication,8.80%,"Study of communication processes, media, and persuasion with attention to science, environmental, and health communication."
,,,Earth and Atmospheric Sciences,9.70%,"Study of the Earth's physical processes, climate, and history; cross-listed with A&S and Engineering."
,,,Entomology,11.50%,"Study of insects and their relationships to humans, agriculture, and ecosystems."
,,,Environment & Sustainability,8.60%,"Interdisciplinary major in environmental science, policy, and sustainability; cross-listed with A&S."
,,,Environmental Engineering,7.90%,"Engineering for clean water, air, soil, and sustainable infrastructure; cross-listed with Engineering."
,,,Food Science,10.40%,"Science and engineering of food, including chemistry, microbiology, and processing."
,,,Global & Public Health Sciences,7.50%,Interdisciplinary major in global and public health; cross-listed with Human Ecology.
,,,Global Development,9.70%,"Study of international development, sustainability, and social change in a global context."
,,,Information Science,6.50%,"Major in computing, data, and society; cross-listed with A&S — same name, different distribution requirements by college."
,,,Interdisciplinary Studies,9.40%,Self-designed CALS major combining coursework across multiple departments.
,,,Landscape Architecture,8.60%,"Five-year accredited BLA in the design of outdoor environments, parks, and ecological landscapes."
,,,Nutritional Sciences,8.50%,Study of human nutrition and food systems; cross-listed with Human Ecology.
,,,Plant Sciences,10.80%,"Study of plant biology, breeding, and applications in agriculture, horticulture, and the environment."
,,,Viticulture and Enology,11.50%,Specialized major in grape growing and winemaking.
,,"College of Architecture, Art, and Planning (AAP)",Architecture,5.00%,"Five-year accredited B.Arch professional program in architectural design, history, and theory."
,,,Fine Arts,7.00%,"BFA in studio practice across painting, sculpture, photography, printmaking, and digital media."
,,,History of Architecture,8.00%,Major in the history and theory of architecture (transfer students only).
,,,Urban and Regional Studies,7.50%,"Major in urban planning, urbanization, and the analysis of cities and regions."
,,College of Arts and Sciences (A&S),Africana Studies,8.80%,"Interdisciplinary study of the histories, cultures, politics, and intellectual traditions of African and African-diasporic peoples."
,,,American Studies,8.70%,"Interdisciplinary examination of U.S. history, culture, politics, and society."
,,,Anthropology,8.30%,"Study of human societies, cultures, and biological evolution."
,,,Archaeology,9.20%,Study of past human societies through material remains.
,,,Asian Studies,8.90%,"Interdisciplinary study of the languages, cultures, and histories of Asia."
,,,Astronomy,7.90%,Observational and theoretical study of celestial objects and the universe.
,,,Biological Sciences,6.70%,"Broad study of living systems from molecules to ecosystems; cross-listed with CALS, with one of 13+ concentrations."
,,,Biology & Society,7.40%,"Interdisciplinary major examining biology together with its social, ethical, and policy dimensions; cross-listed with CALS."
,,,Chemistry and Chemical Biology,7.30%,"Study of matter and its transformations across organic, inorganic, physical, and analytical chemistry, with chemical biology emphasis."
,,,China and Asia-Pacific Studies,7.00%,Interdisciplinary major requiring advanced Chinese-language study and overseas experience.
,,,Classics,9.20%,"Study of the languages, literatures, history, and culture of ancient Greece and Rome, with tracks in Classics, Classical Civilization, Greek, or Latin."
,,,Cognitive Science,7.40%,"Interdisciplinary study of mind and intelligence drawing on psychology, neuroscience, linguistics, philosophy, and computer science."
,,,College Scholar Program,6.80%,Selective Cornell program for students designing their own interdisciplinary course of study around an original research question.
,,,Comparative Literature,8.90%,Cross-linguistic and cross-cultural study of literature with emphasis on theory and translation.
,,,Computer Science,5.40%,"Foundations and applications of computing — algorithms, systems, theory, AI, and software; cross-listed with Engineering with shared curriculum."
,,,Earth and Atmospheric Sciences,8.20%,"Study of Earth's physical processes, climate, and history; cross-listed with CALS and Engineering."
,,,Economics,5.90%,"Study of how individuals, firms, and societies allocate resources."
,,,English,8.40%,Study of literatures in English across periods and genres.
,,,Environment & Sustainability,7.80%,"Interdisciplinary major in environmental science, policy, and sustainability; cross-listed with CALS."
,,,"Feminist, Gender & Sexuality Studies",9.00%,"Interdisciplinary study of gender, sexuality, and their intersections with race, class, and power."
,,,French,9.30%,"Study of French language, literature, and Francophone cultures."
,,,German Studies,9.50%,"Study of German language, literature, and the cultural and intellectual history of the German-speaking world."
,,,Government,6.60%,"Cornell's term for Political Science — study of political institutions, behavior, theory, and international relations."
,,,History,8.40%,"Study of the human past across periods, regions, and themes."
,,,History of Art,8.80%,Critical and historical study of works of art and visual culture.
,,,Information Science,6.20%,"Major in computing, data, and society; cross-listed with CALS — same name with different distribution requirements."
,,,Italian,9.60%,"Study of Italian language, literature, and culture."
,,,Jewish Studies,9.30%,"Interdisciplinary study of Jewish history, texts, languages, religion, and culture."
,,,Linguistics,8.20%,"Scientific study of language structure, meaning, sound, and acquisition."
,,,Mathematics,7.10%,"Pure and applied mathematics including analysis, algebra, geometry, and topology."
,,,Music,8.90%,"Study of music history, theory, ethnomusicology, composition, and performance."
,,,Near Eastern Studies,9.40%,"Interdisciplinary study of the languages, histories, religions, and cultures of the ancient and modern Near East."
,,,Performing and Media Arts (PMA),8.30%,"Major in theater, dance, film, and media studies as text, embodied practice, and screen production."
,,,Philosophy,8.60%,"Study of fundamental questions in metaphysics, epistemology, ethics, logic, and the history of philosophy."
,,,Physics,7.20%,"Rigorous study of classical mechanics, electromagnetism, quantum mechanics, statistical mechanics, and contemporary physics."
,,,Psychology,6.60%,"Scientific study of mind and behavior across cognitive, developmental, social, clinical, and biological psychology."
,,,Religious Studies,9.30%,"Comparative and historical study of religious traditions, texts, and practices."
,,,Science and Technology Studies (STS),8.00%,Interdisciplinary study of how science and technology develop and shape society.
,,,Sociology,8.20%,"Study of social structure, inequality, institutions, and change."
