University,U.S. News Rankings,College,Majors in that college,College Specific Acceptance Rate,Description for Majors
Dartmouth College,13,Dartmouth College — Art & Performing Arts,Art History,6.80%,Critical and historical study of works of art and visual culture across periods and geographies.
,,,Film and Media Studies,6.30%,"Critical and creative study of film, television, and digital media as cultural forms and industries."
,,,Music,6.70%,"Study of music history, theory, ethnomusicology, composition, and performance."
,,,Studio Art,6.40%,"Studio major in painting, drawing, sculpture, photography, printmaking, video, and digital media."
,,,Theater,6.50%,"Study of theater as text and performance, including dramatic literature, history, acting, directing, and design."
,,Dartmouth College — Thayer School of Engineering,Engineering Sciences (AB),5.00%,"Liberal-arts engineering major at the Thayer School covering core engineering disciplines with flexibility across mechanical, electrical, chemical, and biomedical fields."
,,,Biomedical Engineering Sciences,4.80%,Engineering Sciences track focused on the application of engineering to medicine and biology.
,,,Engineering Physics,5.00%,Joint major combining engineering with rigorous training in physics.
,,,Human-Centered Design,5.30%,"Thayer engineering major centered on design thinking, prototyping, and human-centered problem-solving."
,,,Materials Science,5.20%,"Study of the structure, properties, and processing of metals, ceramics, polymers, and semiconductors."
,,,Bachelor of Engineering (BE) — fifth-year ABET-accredited degree,N/A first-year; ~5.8% Dartmouth admit first,"Optional fifth-year ABET-accredited engineering degree at the Thayer School, pursued after the AB."
,,Dartmouth College — Humanities,"Asian Societies, Cultures, and Languages",6.90%,"Interdisciplinary study of the languages, cultures, and histories of Asia."
,,,Classics,7.00%,"Study of the languages, literatures, history, and culture of ancient Greece and Rome."
,,,"East European, Eurasian, and Russian Studies",7.10%,"Interdisciplinary study of the languages, literatures, histories, and cultures of Eastern Europe, Russia, and Eurasia."
,,,English,6.40%,Study of literatures in English across periods and genres; includes creative writing.
,,,French and Italian,7.00%,"Study of French and Italian languages, literatures, and cultures."
,,,German Studies,7.10%,"Study of German language, literature, and the cultural and intellectual history of the German-speaking world."
,,,Philosophy,6.60%,"Study of fundamental questions in metaphysics, epistemology, ethics, logic, and the history of philosophy."
,,,Religion,7.00%,"Comparative and historical study of religious traditions, texts, and practices."
,,,Spanish and Portuguese,6.80%,"Study of Spanish and Portuguese languages and the literatures and cultures of Spain, Latin America, and the Lusophone world."
,,Dartmouth College — Interdisciplinary Programs,African and African American Studies,6.70%,"Interdisciplinary study of the histories, cultures, and political traditions of African and African-diasporic peoples."
,,,Cognitive Science,5.60%,"Interdisciplinary study of mind and intelligence drawing on psychology, neuroscience, linguistics, philosophy, and computer science."
,,,Comparative Literature,6.80%,Cross-linguistic and cross-cultural study of literature with emphasis on theory and translation.
,,,Environmental Studies,6.00%,Interdisciplinary major combining environmental science with policy and the humanities.
,,,International Studies,5.70%,"Interdisciplinary major in global politics, economics, history, and cultures."
,,,Jewish Studies,7.00%,"Interdisciplinary study of Jewish history, texts, languages, religion, and culture."
,,,"Latin American, Latino, & Caribbean Studies",6.80%,"Interdisciplinary study of the histories, cultures, politics, and societies of Latin America, the Caribbean, and U.S. Latino communities."
,,,Linguistics,6.30%,"Scientific study of language structure, meaning, sound, and acquisition."
,,,Medieval and Renaissance Studies,7.20%,"Interdisciplinary study of the cultures, languages, and arts of medieval and Renaissance Europe."
,,,Middle Eastern Studies,7.00%,"Interdisciplinary study of the languages, histories, and cultures of the Middle East."
,,,Native American Studies,7.10%,"Interdisciplinary study of Indigenous histories, cultures, sovereignty, and contemporary politics."
,,,Quantitative Social Science,5.00%,"Interdisciplinary major in quantitative methods applied to social-science questions, drawing on statistics, computer science, and the social sciences."
,,,"Women's, Gender, & Sexuality Studies",6.80%,"Interdisciplinary study of gender, sexuality, and their intersections with race, class, and power."
,,Dartmouth College — Physical & Life Sciences,Biological Sciences,5.10%,Broad study of living systems from molecules and cells to organisms and ecosystems.
,,,Chemistry,5.60%,"Study of matter and its transformations across organic, inorganic, physical, and analytical chemistry."
,,,Climate Science,5.80%,Quantitative major examining the physical climate system and climate change.
,,,Computer Science,4.50%,"Foundations and applications of computing — algorithms, systems, theory, AI, and software."
,,,Earth Science,6.20%,"Study of Earth's physical processes, materials, and history."
,,,Mathematics,5.40%,"Pure and applied mathematics including analysis, algebra, geometry, and topology."
,,,Physics and Astronomy,5.40%,Rigorous study of physics with options in astronomy and astrophysics.
,,Dartmouth College — Social Sciences,Anthropology,6.40%,"Study of human societies, cultures, and biological evolution."
,,,Economics,4.80%,"Study of how individuals, firms, and societies allocate resources."
,,,Education,6.30%,"Interdisciplinary study of education as a field — history, policy, sociology, and psychology."
,,,Geography,6.20%,"Study of physical and human geography, spatial analysis, and the relationship between people and place."
,,,Government,5.20%,"Dartmouth's term for Political Science — study of political institutions, behavior, theory, and international relations."
,,,History,6.40%,"Study of the human past across periods, regions, and themes."
,,,Neuroscience,4.90%,"Study of the nervous system across molecular, cellular, systems, cognitive, and behavioral levels."
,,,Psychological and Brain Sciences,5.20%,"Scientific study of mind, behavior, and the brain across cognitive, developmental, social, clinical, and biological psychology."
,,,Public Policy,5.40%,"Interdisciplinary major in policy analysis through the Rockefeller Center, combining economics, government, and policy substance."
,,,Sociology,6.30%,"Study of social structure, inequality, institutions, and change."
