University,U.S. News Rankings,College,Majors in that college,College Specific Acceptance Rate,Description for Majors
Johns Hopkins University,7,Krieger School of Arts and Sciences,Africana Studies,7.20%,"Interdisciplinary study of the histories, cultures, politics, and intellectual traditions of African and African-diasporic peoples."
,,,Anthropology,6.80%,"Study of human societies, cultures, and biological evolution through ethnography and comparative analysis."
,,,Archaeology,7.40%,"Study of past human societies through material remains, drawing on anthropology, classics, and the natural sciences."
,,,Behavioral Biology,5.00%,"Interdisciplinary major examining the biological bases of behavior across neuroscience, psychology, and evolutionary biology."
,,,Biology,4.80%,"Broad study of living systems from molecules and cells to organisms, populations, and ecosystems."
,,,Biophysics,4.90%,Application of physical and quantitative methods to biological systems and molecular structure.
,,,Chemistry,5.50%,"Study of matter and its transformations across organic, inorganic, physical, and analytical chemistry."
,,,Classics,7.60%,"Study of the languages, literatures, history, and material culture of ancient Greece and Rome."
,,,Cognitive Science,5.50%,"Interdisciplinary study of mind and intelligence drawing on psychology, neuroscience, linguistics, philosophy, and computer science."
,,,Critical Diaspora Studies,7.10%,"Comparative and interdisciplinary study of diasporas, migration, race, and global movements of peoples."
,,,Earth and Planetary Sciences,6.40%,"Study of the physical and chemical processes shaping Earth and planetary bodies, including climate and planetary geology."
,,,East Asian Studies,7.30%,"Interdisciplinary study of the languages, cultures, histories, and societies of China, Japan, Korea, and the broader region."
,,,Economics,5.00%,"Study of how individuals, firms, and societies allocate resources, with training in micro, macro, and econometrics."
,,,English,6.80%,"Study of literatures in English across periods and genres, with attention to form, history, and theory."
,,,Environmental Science,6.00%,Study of natural environmental systems with a strong science foundation.
,,,Environmental Studies,6.30%,Interdisciplinary major combining environmental science with policy and the social dimensions of environmental challenges.
,,,Film and Media Studies,6.60%,"Critical and historical study of film, television, and digital media as cultural forms and industries."
,,,French,7.50%,"Study of French language, literature, and Francophone cultures."
,,,German,7.70%,"Study of German language, literature, and the cultural and intellectual history of the German-speaking world."
,,,History,6.70%,"Study of the human past across periods, regions, and themes, with strong archival and writing training."
,,,History of Art,7.00%,Critical and historical study of works of art and visual culture across time periods and geographies.
,,,"History of Science, Medicine, and Technology",6.50%,"Interdisciplinary study of how science, medicine, and technology have developed historically and shaped society."
,,,Interdisciplinary Studies,6.40%,Faculty-approved self-designed major combining coursework across multiple departments in a coherent program.
,,,International Studies,5.30%,"Interdisciplinary major in global politics, economics, history, and cultures."
,,,Italian,7.70%,"Study of Italian language, literature, and culture."
,,,"Latin American, Caribbean, and Latinx Studies",7.10%,"Interdisciplinary study of the histories, cultures, politics, and societies of Latin America, the Caribbean, and U.S. Latinx communities."
,,,Mathematics,5.30%,"Pure and applied mathematics including analysis, algebra, geometry, topology, and number theory."
,,,"Medicine, Science, and the Humanities",5.70%,"Interdisciplinary major examining medicine and the sciences through history, literature, ethics, and the arts."
,,,Molecular and Cellular Biology,4.60%,"Major focused on the molecular and cellular basis of life, including genetics, biochemistry, and cell biology."
,,,Moral and Political Economy,5.80%,"Interdisciplinary major in normative and analytical questions at the intersection of philosophy, politics, and economics."
,,,Natural Sciences,5.90%,"Flexible major spanning multiple natural-science disciplines, often used by pre-health students."
