University,U.S. News Rankings,College,Majors in that college,College Specific Acceptance Rate,Description for Majors
MIT,2,School of Architecture and Planning,Architecture (Course 4),"4.6% for the entire university — MIT does not publish school-specific acceptance rates, and the major listed on the application does not alter one's chances of getting accepted.","Studies the design, theory, and history of buildings and spatial environments, blending studio design with structural, environmental, and computational methods to shape the built world."
,,,Art and Design (Course 4-B),,"Integrates studio art practice with design thinking, digital fabrication, and visual culture critique to produce contemporary creative work at the intersection of art and technology."
,,,"Art, Culture and Technology (Course 4)",,"Examines how artistic practice intersects with emerging technologies and social systems, producing experimental media, installation, and critical cultural work."
,,,Urban Studies and Planning (Course 11),,"Combines social science, design, policy analysis, and quantitative methods to study cities, housing, transportation, and the politics of urban and regional development."
,,,"Urban Science and Planning with Computer Science (Course 11-6, joint with EECS)",,"Applies data science, geographic information systems (GIS), and software engineering to optimize urban design, transportation networks, and evidence-based public policy."
MIT,,School of Engineering,Civil Engineering (Course 1-C),"4.6% for the entire university — MIT does not publish school-specific acceptance rates, and the major listed on the application does not alter one's chances of getting accepted.","Focuses on the design, construction, and management of human-made infrastructure, complex structural systems, and sustainable urban frameworks."
,,,Environmental Engineering Science (Course 1-E),,"Combines chemical, physical, and biological sciences to remediate pollution, manage vital water resources, and engineer ecological preservation solutions."
,,,"Climate System Science and Engineering (Course 1-12, offered jointly with Earth, Atmospheric, and Planetary Sciences)",,"Jointly offered with Earth Sciences to teach data analytics, computational modeling, and core engineering principles necessary for climate mitigation and adaptation."
,,,Mechanical Engineering (Course 2),,"Covers the core mechanics, thermodynamics, fluid dynamics, and materials science needed to design thermal systems, robotics, and advanced manufacturing technologies."
,,,Mechanical and Ocean Engineering (Course 2-OE),,"Integrates standard mechanical design with marine physics to build advanced oceanographic systems, submersibles, and autonomous underwater vehicles."
,,,"Engineering as Recommended by the Department of Mechanical Engineering (Course 2-A, a flexible, customizable track)",,"Allows students to combine core mechanical engineering fundamentals with tailored concentrations in fields like biomechanics, product design, or management."
,,,Materials Science and Engineering (Course 3),,"Studies how atomic structure, processing methods, and thermodynamic properties dictate the performance of metals, polymers, semiconductors, and biomaterials."
,,,"Archaeology and Materials (Course 3-C, offered jointly with the Department of Anthropology)",,A specialized joint track with Anthropology using advanced material science testing — such as forensics and spectroscopy — to analyze archaeological artifacts and ancient technologies.
,,,Electrical Engineering and Computer Science (Course 6-2),,"Explores the sweet spot where hardware meets software, detailing physical circuit building alongside firmware development and computer architecture."
,,,Computer Science and Engineering (Course 6-3),,"Delves deeply into algorithmic systems, complex software engineering, cloud computing, cryptography, and theoretical computational boundaries."
,,,Artificial Intelligence and Decision Making (Course 6-4),,"Analyzes the mathematical and practical frameworks behind machine learning models, autonomous systems, statistics, and neural networks."
,,,Electrical Engineering with Computing (Course 6-5),,"Connects physical devices, quantum systems, signal processing, and electromagnetics with foundational computing logic."
,,,"Computer Science and Molecular Biology (Course 6-7, joint with Biology)",,"Bridges heavy software engineering with biological data, preparing graduates to manage bioinformatics platforms and genomic sequencing technologies."
,,,"Computation and Cognition (Course 6-9, joint with Brain & Cognitive Sciences)",,"Connects cognitive brain sciences with computer modeling to study artificial intelligence, human perception, and machine learning architectures."
,,,"Computer Science, Economics, and Data Science (Course 6-14, joint with Economics)",,"Blends data analytics and system modeling with mathematical economic theory, game theory, and market design."
,,,"Urban Science and Planning with Computer Science (Course 11-6, joint with Urban Studies)",,"Applies data science, geographic information systems (GIS), and software tools to optimize urban design, transportation networks, and public policy."
,,,Chemical Engineering (Course 10),,"Focuses on scaling chemical processes from the laboratory bench to industrial-scale manufacturing of fuels, electronics, and materials."
,,,Chemical-Biological Engineering (Course 10-B),,"Combines molecular biology and biochemistry with chemical kinetics to engineer pharmaceuticals, bioplastics, and metabolic technologies."
,,,"Engineering as Recommended by the Department of Chemical Engineering (Course 10-C, flexible track)",,"Adapts chemical engineering principles toward customized student tracks in clean energy, business management, or global policy."
,,,Aerospace Engineering (Course 16),,"Analyzes aerodynamics, vehicle structures, autonomous guidance, propulsion systems, and orbital mechanics for atmospheric and space flight vehicles."
,,,"Engineering as Recommended by the Department of Aeronautics and Astronautics (Course 16-ENG, flexible track)",,"Provides basic aerospace grounding while embedding an interdisciplinary focus track, such as flight software, robotics, or computational modeling."
,,,Biological Engineering (Course 20),,"Applies quantitative engineering methodologies to manipulate biological mechanisms, design synthetic cells, and construct novel biomolecules or tissue scaffolds."
,,,Nuclear Science and Engineering (Course 22),,"Investigates the applications of low-energy nuclear physics, spanning carbon-free fusion/fission energy systems, medical imaging, radiation safety, and quantum engineering."
,,,"Humanities and Engineering (Course 21E, allows students to combine a baseline engineering track with a humanities concentration)",,Blends a full concentration in a chosen humanities discipline (like History or Literature) with a fundamental core curriculum in an engineering track.
,,"School of Humanities, Arts, and Social Sciences (SHASS)",Anthropology (Course 21A),"4.6% for the entire university — MIT does not publish school-specific acceptance rates, and the major listed on the application does not alter one's chances of getting accepted.","Studies human societies, cultures, and behavior through ethnographic fieldwork and cross-cultural analysis, with strengths in science, technology, and medical anthropology."
,,,Comparative Media Studies (CMS),,"Analyzes media forms — film, games, journalism, social platforms — across history and culture, combining critical theory with hands-on media production."
,,,Economics (Course 14-1),,"Applies rigorous mathematical and statistical modeling to study markets, labor, growth, public policy, and behavioral decision-making at micro and macro scales."
,,,Mathematical Economics (Course 14-2),,"An intensive track combining advanced mathematics, econometrics, and economic theory for students pursuing graduate work or quantitative research."
,,,"Global Studies and Languages (Course 21G — Chinese, French, German, Japanese, Russian, Spanish, etc.)",,"Develops advanced proficiency in a world language alongside study of the literature, history, politics, and culture of the associated regions."
,,,History (Course 21H),,"Investigates political, social, scientific, and cultural change across regions and eras using primary sources, archival research, and historiographical methods."
,,,Linguistics and Philosophy (Course 24-2),,"Combines formal study of language structure — phonology, syntax, semantics — with philosophical questions about meaning, mind, and knowledge."
,,,Literature (Course 21L),,"Engages closely with poetry, fiction, drama, and film across periods and traditions, building skills in critical reading, interpretation, and analytical writing."
