University,U.S. News Rankings,College,Majors in that college,College Specific Acceptance Rate,Description for Majors
Northwestern University,7,Weinberg College of Arts and Sciences,African Studies (Adjunct Major),8.00%,"Interdisciplinary adjunct major paired with a primary major, focused on the histories, cultures, and politics of Africa."
,,,American Studies,7.90%,"Interdisciplinary examination of U.S. history, culture, politics, and society."
,,,Anthropology,7.60%,"Study of human societies, cultures, and biological evolution through ethnography and comparative analysis."
,,,Art History,7.80%,Critical and historical study of works of art and visual culture.
,,,Art Theory and Practice,7.30%,"Studio major integrating studio practice with art theory across painting, sculpture, photography, and digital media."
,,,Asian American Studies,8.00%,"Interdisciplinary study of Asian American histories, cultures, and politics."
,,,Asian Languages and Cultures,8.10%,"Study of the languages, literatures, and cultures of Asia."
,,,Biological Sciences,6.10%,"Broad study of living systems from molecules and cells to organisms, populations, and ecosystems."
,,,Black Studies,8.00%,"Interdisciplinary study of the histories, cultures, and political traditions of Black peoples in the U.S. and the African diaspora."
,,,Chemistry,6.60%,"Study of matter and its transformations across organic, inorganic, physical, and analytical chemistry."
,,,Classics,8.30%,"Study of the languages, literatures, history, and culture of ancient Greece and Rome."
,,,Cognitive Science,6.60%,"Interdisciplinary study of mind and intelligence drawing on psychology, neuroscience, linguistics, philosophy, and computer science."
,,,Comparative Literary Studies,8.00%,Cross-linguistic and cross-cultural study of literature with strong emphasis on theory and translation.
,,,Data Science,5.70%,"Major combining statistics, computer science, and domain applications focused on data analysis, machine learning, and inference."
,,,Earth and Planetary Sciences,7.00%,"Study of Earth's physical and chemical processes, the climate system, and planetary geology."
,,,Economics,5.80%,"Study of how individuals, firms, and societies allocate resources."
,,,English: Creative Writing,7.10%,"Workshop-based English track in fiction, poetry, and nonfiction craft alongside literary study."
,,,English: Literature,7.50%,English track focused on literatures in English across periods and genres.
,,,Environmental Policy and Culture,7.30%,"Interdisciplinary major examining environmental issues through history, politics, and the humanities."
,,,Environmental Sciences,6.80%,Study of natural environmental systems with strong science training.
,,,French,8.20%,"Study of French language, literature, and Francophone cultures."
,,,Gender and Sexuality Studies,7.90%,"Interdisciplinary study of gender, sexuality, and their intersections with race, class, and power."
,,,German,8.40%,"Study of German language, literature, and the cultural and intellectual history of the German-speaking world."
,,,Global Health Studies (Adjunct Major),6.70%,"Adjunct major (paired with a primary) examining health from comparative, cultural, and policy perspectives."
,,,History,7.60%,"Study of the human past across periods, regions, and themes."
,,,Integrated Science Program (ISP),5.80%,"Selective accelerated science honors program combining advanced coursework across biology, chemistry, physics, and mathematics."
,,,International Studies (Adjunct Major),6.80%,"Adjunct major in global politics, economics, history, and cultures, paired with a primary major."
,,,Italian,8.40%,"Study of Italian language, literature, and culture."
,,,Jewish Studies,8.30%,"Interdisciplinary study of Jewish history, texts, languages, religion, and culture."
,,,Latina and Latino Studies,8.00%,"Interdisciplinary study of U.S. Latina/o histories, cultures, and politics."
,,,Legal Studies,6.70%,"Interdisciplinary major examining law as a social, historical, and intellectual phenomenon."
,,,Linguistics,7.40%,"Scientific study of language structure, meaning, sound, and acquisition."
,,,Mathematical Methods in the Social Sciences (MMSS),5.70%,Selective Northwestern signature major combining advanced mathematics with economics and the social sciences.
,,,Mathematics,6.30%,"Pure and applied mathematics including analysis, algebra, geometry, and topology."
,,,Middle East and North African Studies,8.10%,"Interdisciplinary study of the languages, histories, and cultures of the Middle East and North Africa."
,,,Neuroscience,5.80%,"Study of the nervous system across molecular, cellular, systems, cognitive, and behavioral levels."
,,,Philosophy,7.60%,"Study of fundamental questions in metaphysics, epistemology, ethics, logic, and the history of philosophy."
,,,Physics and Astronomy,6.40%,Rigorous study of physics with options in astronomy and astrophysics.
,,,Political Science,6.40%,"Study of political institutions, behavior, theory, and international relations."
,,,Psychology,6.10%,"Scientific study of mind and behavior across cognitive, developmental, social, clinical, and biological psychology."
,,,Religious Studies,8.20%,"Comparative and historical study of religious traditions, texts, and practices."
,,,Russian and East European Studies,8.30%,"Interdisciplinary study of the languages, cultures, and societies of Russia and Eastern Europe."
,,,"Russian Language, Literature, and Culture",8.40%,Focused study of Russian language and literature.
,,,Science in Human Culture (Adjunct Major),7.80%,"Adjunct major examining science, medicine, and technology through history, philosophy, and social studies."
,,,Sociology,7.40%,"Study of social structure, inequality, institutions, and change."
,,,Spanish,7.90%,Study of Spanish language and the literatures and cultures of Spain and Latin America.
,,,Statistics,5.90%,"Theory and practice of statistical inference, probability, and data analysis."
,,McCormick School of Engineering and Applied Science,Applied Mathematics,6.00%,"Mathematics applied to engineering and scientific problems with emphasis on modeling, analysis, and computation."
,,,Artificial Intelligence,5.40%,"BS major focused on the foundations and applications of AI, including machine learning, reasoning, and AI systems."
,,,Biomedical Engineering,5.60%,"Application of engineering to medicine and biology, including biomechanics, biomaterials, imaging, and computational biology."
,,,Chemical Engineering,6.10%,"Engineering of chemical and biomolecular processes for energy, materials, pharmaceuticals, and the environment."
,,,Civil Engineering,6.50%,"Design and analysis of infrastructure systems including structures, transportation, and sustainability of the built environment."
,,,Computer Engineering,5.50%,"Hardware-software integration covering digital systems, embedded systems, and computer architecture."
