University,U.S. News Rankings,College,Majors,College Specific Acceptance Rate,Description
Notre Dame,20,College of Arts and Letters — Humanities,Africana Studies (A.B.),10.50%,"Interdisciplinary study of the African American experience, Africa, and the African Diaspora — race, politics, theology, education, and history across the Africana world."
,,,American Studies (A.B.),10.20%,Interdisciplinary study of U.S. culture and society — courses range from 'The American West' and 'American Capitalism' to 'Race and Popular Culture' and 'Catholics in America.'
,,,Arabic (A.B.),10.70%,"Arabic language taught by native speakers alongside Arabic literature, history, civilization, culture, and religion. Housed in the Department of Classics."
,,,Classics (A.B.),10.80%,"Greek and Latin languages with Greek and Roman literature, history, art, religion, philosophy, and archaeology of the Greco-Roman world."
,,,Computer Science (B.A.),7.40%,Liberal-arts-oriented computer science combining significant CSE coursework with a required 15-credit cognate area in an Arts and Letters discipline. Housed in A&L.
,,,English (A.B.),10.00%,"Literature across periods, forms, and genres with small classes (15–17 students) and strong creative writing offerings in fiction, poetry, nonfiction, and playwriting/screenwriting."
,,,"Film, Television, and Theatre (FTT) (A.B.)",9.40%,"Scholarly study of film/TV/theatre with hands-on production — cinematography, lighting, set design, acting, sound design, animation — and directing/writing tracks."
,,,French and Francophone Studies (A.B.),10.70%,"French language and the literatures, cultures, politics, and societies of the French-speaking world. Major, supplementary major, or minor available."
,,,German (A.B.),10.80%,Two concentrations — Language and Literature (deep immersion with an honors track) and German Studies (broader interdisciplinary program). Supplementary major and international economics track available.
,,,Greek and Roman Civilization (A.B.),10.80%,Interdisciplinary survey of Greek and Roman literature and culture from the Late Bronze Age to the disintegration of the Roman Empire — primarily through translation.
,,,History (A.B.),10.00%,"The human past from antiquity to the present across every region and theme, with strong emphasis on context, perspective, and historical argumentation."
,,,International Economics (A.B.),8.20%,"Economics combined with advanced language training in Arabic, Chinese, French, German, Italian, Japanese, Russian, or Spanish, with study abroad and overseas internship opportunities."
,,,Italian Studies (A.B.),10.90%,Two tracks — Literature and Culture (language and literary immersion) and Italian Studies (interdisciplinary). A Year in Rome through Notre Dame's Rome Global Gateway is integral.
,,,Japanese (A.B.),10.60%,"Japanese language from beginner through advanced levels with literature, culture, and intensive summer language study abroad. Major, supplementary major, and international economics track."
,,,Latino Studies (A.B.),10.50%,"Interdisciplinary study of the U.S. Latino population through the Institute for Latino Studies, including community-based learning and summer programs in Chicago, LA, DC, and Puerto Rico."
,,,"Mathematics (A.B., Honors)",8.80%,Rigorous A&L-housed honors mathematics program emphasizing how and why mathematics works — preparation for careers requiring strong analytic and quantitative skills.
,,,Medieval Studies (A.B.),11.00%,Interdisciplinary major drawing from twelve disciplines around a student-chosen concentration. Requires a Medieval Studies seminar with a substantial research paper.
,,,Music (A.B.),10.10%,"Music theory, history, and ethnomusicology with academic and performance concentrations. Honors option for graduate-bound students; may be paired with any other major."
,,,Philosophy (A.B.),10.20%,"Core in Ancient & Medieval Philosophy, Modern Philosophy, and Formal Logic plus five upper-level seminars (10–12 students) across ethics, philosophy of science, feminism, and history of philosophy."
,,,"Philosophy and Theology (A.B., Joint Major)",10.40%,Joint degree completing requirements in both Philosophy and Theology departments — engaging the intersection of systematic philosophy and scriptural/theological traditions.
,,,Program of Liberal Studies (PLS) (A.B.),9.80%,"Integrated great-books curriculum of small Socratic seminars and tutorials spanning the arts, history, literature, natural science, philosophy, politics, and theology."
,,,Romance Languages and Literatures (A.B.),10.80%,"Cross-cultural major in two Romance languages and literatures (French, Italian, or Spanish) — applicable to international law, business, communications, fine arts, and diplomacy."
,,,Russian (A.B.),10.90%,"Russian language and culture from beginner through advanced levels. Major, supplementary major, international economics track with Russian concentration, and minor."
