University,U.S. News Rankings,College,Majors,College Specific Acceptance Rate,Description
UC Berkeley,15,College of Letters & Science — Arts & Humanities,Ancient Greek and Roman Studies,15.50%,"Interdisciplinary study of the languages, literatures, history, philosophy, art, and archaeology of ancient Greece and Rome. Tracks include Ancient Greek & Roman Studies, Greek, Latin, and Greek and Latin."
,,,"Art, History of",14.20%,"Study of visual art and architecture across global cultures and historical periods, with emphasis on critical interpretation, theory, and visual analysis."
,,,"Art, Practice of",11.50%,"Studio-based BA training in contemporary art practice across painting, sculpture, photography, digital media, performance, and new media."
,,,Celtic Studies,16.50%,"Languages, literatures, and cultures of the Celtic peoples (Irish, Welsh, Scottish Gaelic), spanning medieval to modern periods."
,,,Comparative Literature,14.80%,"Study of literature across languages, cultures, and media with strong language and theory training."
,,,Dutch Studies,16.80%,"Language, literature, and culture of the Netherlands and the broader Dutch-speaking world."
,,,East Asian Languages and Cultures,14.50%,"Languages, literatures, religions, and cultures of China, Japan, and Korea. Concentrations: Chinese Language and Culture; Japanese Language and Culture; Korean Language and Culture; East Asian Religion, Thought, and Culture."
,,,English,13.80%,"Study of literatures in English from medieval to contemporary, with strong training in critical writing, literary theory, and creative writing electives."
,,,Film and Media,11.80%,"History, theory, and criticism of cinema, television, and digital media, combined with production opportunities."
,,,French,15.80%,"Language, literature, and cultures of the French-speaking world from medieval to contemporary periods."
,,,German,16.00%,"German language, literature, philosophy, and culture from the medieval era through the present."
,,,Italian Studies,16.20%,"Italian language and the literature, cinema, and cultural history of Italy and the Italian diaspora."
,,,Middle Eastern Languages and Culture,15.40%,"Arabic, Hebrew, Persian, and Turkish languages with literature and culture. Concentrations: Languages and Literature; Middle Eastern Worlds."
,,,Music,13.70%,"Music history, theory, composition, ethnomusicology, and performance, with strong ensemble offerings."
,,,Near Eastern Civilizations,15.80%,"History, languages, and cultures of the ancient and medieval Near East, including Egyptology, Assyriology, and Biblical studies."
,,,Philosophy,13.50%,"Logic, ethics, metaphysics, epistemology, philosophy of mind/science, and history of philosophy across analytic and continental traditions."
,,,Rhetoric,13.00%,"Critical study of public discourse, argumentation, and persuasion across legal, political, visual, and digital contexts."
,,,Scandinavian,16.80%,"Languages, literatures, and cultures of Scandinavia. Tracks: Danish, Finnish, Norwegian, Old Norse, Swedish."
,,,Slavic Languages and Literatures,16.20%,"Slavic and East European languages and literatures. Tracks: Armenian, Bosnian/Croatian/Serbian, Czech, Hungarian, Polish, Russian."
,,,South and Southeast Asian Studies,15.60%,"Languages, religions, histories, and cultures of South Asia (India, Pakistan, Bangladesh, Sri Lanka, Nepal) and Southeast Asia."
,,,Spanish and Portuguese,15.00%,"Languages, literatures, and cultures of Spain, Portugal, and Latin America. Concentrations: Spanish-Speaking World; Portuguese-Speaking World; Latin American Languages, Literature, and Cultures; Hispanic Languages, Literature, and Bilingualism."
,,,"Theater, Dance, and Performance Studies",13.40%,"Critical and creative study of theater, dance, and performance. Concentrations: Dance and Performance Studies; Theater and Performance Studies."
,,,Undeclared – Arts and Humanities,14.50%,First-year-only entry point for students intending to declare an Arts & Humanities major after completing prerequisites in L&S.
,,College of Letters & Science — Biological Sciences,Integrative Biology,10.20%,"Study of whole organisms, populations, evolution, ecology, physiology, and biomechanics across diverse taxa."
,,,Molecular and Cell Biology,8.50%,"Molecular, cellular, and developmental processes in living systems. Emphases: Biochemistry and Molecular Biology; Molecular Therapeutics; Cell and Developmental Biology; Genetics, Genomics, and Development; Immunology and Pathogenesis."
,,,Neuroscience,8.00%,"Interdisciplinary study of the nervous system spanning molecular, cellular, systems, cognitive, and computational neuroscience."
,,,Public Health,7.20%,"Population health, epidemiology, biostatistics, health policy, and social determinants of health. Capstone fieldwork required."
,,,"Robinson Life Science, Business, and Entrepreneurship Program",4.00%,Selective interdisciplinary program (administered with Haas) combining life sciences research training with business and entrepreneurship coursework.
,,,Undeclared – Biological Sciences,10.00%,First-year-only entry point for students planning to declare a Biological Sciences major after L&S prerequisites.
