University,U.S. News Rankings,College,Majors,College Specific Acceptance Rate,Description
U-Michigan (Ann Arbor),20,"College of Literature, Science, and the Arts (LSA) — Humanities",Ancient Greek (A.B.),19.00%,"Reading and interpretive proficiency in Ancient Greek language and literature — Homer, the tragedians, Plato — alongside the cultural and historical world of classical antiquity."
,,,Arabic Studies (A.B.),18.80%,"Classical and modern standard Arabic with the literature, history, and cultures of Arabic-speaking societies. Offered through Middle East Studies."
,,,Classical Archaeology (A.B.),19.20%,"Material culture and art of the ancient Greek and Roman worlds through archaeological, textual, and art-historical methods with fieldwork opportunities."
,,,Classical Civilization (A.B.),19.00%,"Ancient Greek and Roman civilizations through literature, history, philosophy, religion, and art — conducted primarily in English translation."
,,,Classical Languages and Literature (A.B.),19.30%,"Intensive study of both Latin and Greek language and literature, tracing the intellectual and literary traditions of the Greco-Roman world."
,,,Comparative Literature (A.B.),18.50%,"Literary works across national traditions and historical periods, often in original languages — translation theory, world literature, and comparative methodology."
,,,English (A.B.),17.80%,"Close reading, analysis, and historical interpretation of literature in the English language from medieval texts to contemporary writing; offers a creative writing track."
,,,"Film, Television, and Media (A.B.)",16.50%,"Moving-image media — film, television, digital and emerging platforms — through historical, theoretical, and cultural approaches, with hands-on production."
,,,French and Francophone Studies (A.B.),18.80%,"Advanced French language with French and Francophone literature, culture, film, and thought from the medieval period to the present."
,,,German (A.B.),19.20%,"Advanced German language alongside literature, intellectual history, and cultural production of German-speaking societies; includes Scandinavian Studies option."
,,,History (A.B.),17.80%,"The human past across civilizations and eras with emphasis on primary-source analysis and historical argumentation — subfields include U.S., European, Asian, and global history."
,,,History of Art (A.B.),18.50%,"Visual arts — painting, sculpture, architecture, photography, and new media — in historical and cultural contexts from antiquity to the present."
,,,"Language, Literature, and Culture of Ancient Greece (A.B.)",19.30%,Integrated program in ancient Greek language and Hellenic civilization combining linguistic training with literary and cultural analysis.
,,,"Language, Literature, and Culture of Ancient Rome (A.B.)",19.30%,"Integrated program in Latin language and Roman civilization covering literature, philosophy, history, and material culture."
,,,Linguistics (A.B.),17.50%,"Scientific study of human language — phonology, syntax, semantics, historical linguistics, and sociolinguistics. Sub-plans in computational linguistics and language and cognition."
,,,Medieval and Early Modern Studies (A.B.),19.50%,"Interdisciplinary study of culture, literature, history, and thought from roughly 500–1700 CE across European and global traditions."
,,,Modern Greek (A.B.),19.50%,Modern Greek language and the literature and culture of Greece from the Byzantine period to the present.
,,,Philosophy (A.B.),18.00%,"Fundamental questions in metaphysics, epistemology, ethics, political philosophy, and the philosophy of mind and language through major texts in Western and global traditions."
,,,Polish (A.B.),19.50%,"Polish language, literature, and culture. Housed in Slavic Languages and Literatures."
,,,Portuguese (A.B.),19.20%,"Advanced Portuguese with literature and culture from Portugal, Brazil, and other Lusophone societies."
,,,Religion (A.B.),19.00%,"Beliefs, practices, texts, and institutions of world religious traditions using historical, textual, and social-scientific approaches."
,,,Russian (A.B.),19.20%,"Advanced Russian language with Russian literature, intellectual history, and culture from medieval Kievan Rus through the present."
,,,Scandinavian Studies (A.B.),19.50%,"Languages (Swedish, Norwegian, Danish), literatures, and cultures of the Nordic countries. Housed in Germanic Languages and Literatures."
,,,Slavic Languages and Literatures (A.B.),19.30%,"Slavic languages (Russian, Polish, Czech, etc.) alongside literary and cultural traditions of Slavic peoples with sub-concentrations in various languages."
,,,Spanish (A.B.),18.50%,"Advanced Spanish language with literature and culture of Spain, Latin America, and the U.S. Latino diaspora."
,,,Translation Studies (A.B.),18.80%,Theory and practice of literary and cultural translation. Offered through Comparative Literature and Translation Studies.
,,,Ukrainian (A.B.),19.60%,"Ukrainian language, literature, and history. Housed in Slavic Languages and Literatures."
,,,Writing (A.B.),17.50%,Craft of writing across multiple genres and rhetorical situations. Offered through the Sweetland Center for Writing.
,,"College of Literature, Science, and the Arts (LSA) — Social Sciences",Afroamerican and African Studies (A.B.),18.50%,"Historical, cultural, political, and intellectual traditions of African-descended peoples in Africa and the diaspora through interdisciplinary methods."
,,,American Culture (A.B.),18.00%,"Interdisciplinary U.S. cultural history and society — sub-plans explore race, ethnicity, gender, region, and popular culture."
,,,Anthropology (A.B.),17.80%,"Human diversity through the four subfields — cultural, biological, linguistic, and archaeological anthropology."
,,,"Biopsychology, Cognition, and Neuroscience (BCN) (A.B. or B.S.)",14.20%,"Interdisciplinary major housed in Psychology — biological bases of behavior, cognitive processes, and neural mechanisms. Distinct from the Neuroscience B.S."
,,,Communication and Media (A.B.),14.80%,"Media industries, communication processes, political communication, media effects, and media culture across social-scientific and humanistic approaches."
,,,Cognitive Sciences (A.B.),15.00%,"Interdisciplinary study of mind and intelligence — linguistics, psychology, philosophy, computer science, and neuroscience. Weinberg Institute for Cognitive Science."
,,,Economics (A.B. or B.S.),13.50%,"Microeconomic and macroeconomic theory, econometrics, and applied economics across labor, industrial organization, and international trade."
,,,Gender and Health (A.B.),18.00%,"Gender as it intersects with health, medicine, and social structures. Offered through the Women's and Gender Studies program."
,,,"Human Origins, Biology, and Behavior (A.B.)",17.00%,"Human evolutionary biology, primatology, paleoanthropology, and behavioral ecology. Offered through Anthropology."
,,,International Studies (A.B.),14.80%,"Area studies, language, economics, political science, and history applied to global affairs. Regional or thematic sub-plans (e.g., International Security; Political Economy & Development)."
,,,Japanese Studies (A.B.),18.50%,"Advanced Japanese language with history, culture, literature, and contemporary society of Japan. Housed in Asian Languages and Cultures."
,,,Judaic Studies (A.B.),19.00%,"Jewish civilization, history, religious thought, and cultural production from antiquity through the present in global contexts."
,,,Latin American and Caribbean Studies (A.B.),18.50%,"Interdisciplinary history, politics, cultures, and literature of Latin America and the Caribbean. International Institute."
,,,Latina/o Studies (A.B.),18.70%,"History, cultures, and social experiences of Latino communities in the United States. Housed in American Culture."
,,,"Law, Justice, and Social Change (A.B.)",16.00%,The law in its social context — how legal institutions shape and are shaped by structures of inequality. Housed in Sociology.
,,,LGBTQ and Sexuality Studies (A.B.),18.80%,"Sexuality, gender identity, queer theory, and LGBTQ+ history and culture. Women's and Gender Studies."
,,,Medical Anthropology (A.B.),16.80%,"Health, illness, and medicine from anthropological perspectives — culture, society, and biology in human health experience."
,,,Middle East Studies (A.B.),18.70%,"History, politics, languages, and cultures of the Middle East and North Africa. Center for Middle Eastern and North African Studies."
,,,Modern European Studies (A.B.),18.80%,"Interdisciplinary European history, politics, culture, and thought from the early modern period to the present. International Institute."
,,,Modern Middle Eastern and North African Studies (A.B.),18.80%,"Language-based study of contemporary politics, cultures, and societies of the MENA region. International Institute."
,,,Organizational Studies (A.B.),12.50%,"Competitive-admissions interdisciplinary major drawing on economics, sociology, and psychology — how organizations function and questions of leadership and change."
,,,"Philosophy, Politics, and Economics (PPE) (A.B.)",13.80%,"Competitive-admissions interdisciplinary major integrating analytic philosophy, political science, and formal economic reasoning."
,,,Political Science (A.B.),14.50%,"Political institutions, processes, and behavior across American politics, comparative politics, international relations, and political theory."
,,,Psychology (A.B. or B.S.),13.80%,"Scientific study of human and animal behavior and mental processes — developmental, social, clinical, personality, cognitive, and neuroscience perspectives."
,,,Quantitative Methods in the Social Sciences (QMSS) (A.B.),14.20%,Statistical and computational methods for social science research combined with a substantive social science focus.
,,,"Science, Technology, and Society (STS) (A.B.)",17.20%,"Interdisciplinary examination of the relationships among science, technology, and society."
,,,Social Class and Inequality Studies (A.B.),18.80%,Causes and consequences of economic inequality and class stratification. Offered through Women's and Gender Studies.
,,,Sociology (A.B.),17.00%,"Social structures, institutions, and processes — inequality, culture, organizations, and social movements using quantitative and qualitative methods."
,,,Urban Studies (A.B.),17.00%,"Interdisciplinary study of cities and metropolitan regions — urban history, planning, policy, and social dynamics."
,,,Women's and Gender Studies (A.B.),18.80%,"Interdisciplinary program examining gender, sexuality, race, and other axes of identity and power using feminist and critical frameworks."
,,"College of Literature, Science, and the Arts (LSA) — Natural Sciences & Mathematics",Astronomy and Astrophysics (A.B. or B.S.),16.50%,"The universe from planets and stars to galaxies and cosmology, integrating physics and mathematics with observational astronomy."
,,,Biochemistry (B.S.),13.80%,"Chemical processes underlying living organisms — protein structure and function, metabolism, molecular biology, and enzyme mechanisms with substantial lab work."
,,,Biology (A.B. or B.S.),14.50%,"Broad survey of biological sciences — cell biology, genetics, ecology, evolution, and physiology."
,,,"Biology, Health, and Society (BHS) (A.B. or B.S.)",14.00%,"Interdisciplinary biological, social, and policy dimensions of health and medicine — fewer lab credits than core biology majors."
,,,Biomolecular Science (B.S.),14.00%,"Chemistry and biology at the molecular level — nucleic acid biochemistry, protein structure, and molecular cellular mechanisms. Housed in Chemistry."
,,,Biophysics (B.S.),15.00%,"Physics and mathematics applied to biological problems at molecular, cellular, and systems levels."
,,,Chemical Sciences (B.S.),16.00%,"Interdisciplinary major at the boundary of chemistry and biology — medicinal chemistry, chemical genetics, and biochemical analysis. Chemistry department."
,,,Chemistry (A.B. or B.S. Chem.),16.20%,"Inorganic, organic, physical, and analytical chemistry. The B.S. Chem. is ACS-certified with additional coursework and laboratory hours."
,,,Computer Science — LSA (A.B. or B.S.),10.50%,"LSA/Engineering joint Computer Science program — algorithms, data structures, software systems, and theory in a liberal arts context. Distinct from the BSE in CS."
,,,Data Science (A.B. or B.S.),11.50%,"Statistics, computing, and domain knowledge for analyzing complex datasets. Offered through the Statistics department."
,,,Earth and Environmental Sciences (A.B. or B.S.),17.50%,"Physical, chemical, and biological processes shaping the Earth — geology, hydrology, atmospheric science, and environmental geochemistry. Sub-plans include Oceanography and Paleontology."
,,,"Ecology, Evolution, and Biodiversity (EEB) (A.B. or B.S.)",16.80%,"Ecological interactions, evolutionary processes, and the diversity of life — field biology, population genetics, and conservation biology."
,,,Informatics (A.B.),13.50%,"Interdisciplinary major combining computing, statistics, and social science to analyze and design information systems. Administered by Statistics."
,,,Interdisciplinary Astronomy (B.S.),16.80%,Rigorous astronomy and physics with additional study in mathematics or a related field — deeper quantitative preparation than the standard Astronomy major.
,,,Interdisciplinary Physics (B.S.),16.50%,"Physics combined with a cognate area such as mathematics, biophysics, or computation."
,,,Mathematics (A.B. or B.S.),15.50%,"Pure and applied mathematics — analysis, algebra, topology, and probability. Sub-plans in actuarial mathematics and mathematical finance."
,,,Microbiology (B.S.),14.00%,"Microorganisms — bacteria, viruses, fungi, and protozoa — including genetics, immunology, ecology, and roles in medicine and industry."
,,,"Molecular, Cellular, and Developmental Biology (MCDB) (B.S.)",13.80%,"Molecular and cellular mechanisms of development, gene regulation, and cell signaling — designed for research or graduate study."
,,,Neuroscience (B.S.),13.00%,Structure and function of the nervous system from molecular and cellular levels to systems and behavior. Undergraduate Program in Neuroscience.
,,,Physics (A.B. or B.S.),16.00%,"Classical and modern physics — mechanics, electromagnetism, quantum mechanics, and statistical physics."
,,,Plant Biology (B.S.),17.50%,"Plants at all levels — molecular, cellular, organismal, and ecological — with emphasis on evolution, genetics, and ecology."
,,,Polymer Chemistry (B.S.),17.00%,"Synthesis, properties, and applications of polymers and macromolecules. Housed in Chemistry."
,,,Statistics (A.B. or B.S.),13.20%,"Statistical theory, data analysis, probability, and computational methods. Sub-plans include applied statistics."
,,,Cellular and Molecular Biomedical Science (CMBS) (B.S.),13.50%,Joint LSA/Biomedical Engineering program — cell/molecular biology with biomedical engineering coursework.
,,LSA — Interdisciplinary & Residential College,Arts and Ideas in the Humanities (A.B.),18.80%,"RC-administered interdisciplinary major (open to all LSA students) combining literature, visual arts, music, and drama with global cultural attention — analytical, historical, and studio skills."
,,,Creative Writing and Literature (A.B.),17.20%,"RC major combining disciplined creative writing practice (fiction, poetry, creative nonfiction, digital storytelling) with rigorous literary study — workshops and tutorials."
,,,Drama (A.B.),17.00%,RC major treating drama as a full academic discipline — theatrical history and criticism combined with practical performance and production.
,,,Social Theory and Practice (A.B.),17.50%,"RC interdisciplinary social-sciences major integrating anthropology, economics, geography, history, political science, psychology, and sociology with community-engaged learning."
,,,Bachelor of Pharmaceutical Studies (B.S.),11.50%,Pre-professional pathway combining natural sciences and pharmacy sciences for direct entry to the PharmD program. Administered jointly with the College of Pharmacy.
,,,Environment (A.B. or B.S.),16.50%,"Jointly administered by LSA and SEAS through the Program in the Environment (PitE) — natural science, social science, and humanities perspectives. Specialization areas: Environmental Sciences; Environmental Social Sciences; Culture and Environment."
,,,Information Analysis and Design (A.B.),N/A first-year; preferred/upper-level pathway,Pathway within the School of Information's offerings combining data analysis and UX/design methods with information science theory.
,,,Social Media Analysis and Design (A.B.),N/A first-year; preferred/upper-level pathway,"Interdisciplinary program on the design, use, and societal impacts of social media platforms. School of Information with LSA."
,,,User Experience Design (A.B.),N/A first-year; preferred/upper-level pathway,Human-centered design of digital products and services. Offered through the School of Information for LSA cross-enrollees.
,,,Bachelor in General Studies (B.G.S.),17.00%,Designed for students creating their own interdisciplinary program of study within LSA.
,,College of Engineering,Aerospace Engineering (B.S.E.),11.00%,"Aeronautics (aircraft design and atmospheric flight) and astronautics (spacecraft design and space exploration) — aerodynamics, propulsion, structures, and control. ABET-accredited."
,,,Architectural Engineering (B.S.E.),12.00%,"Engineering applied to building design and construction — structural systems, HVAC, electrical, and integration with architecture. ABET-accredited."
,,,Biomedical Engineering (B.S.E.),10.50%,"Engineering integrated with life sciences for medical devices, diagnostics, and therapies — biomechanics, biomaterials, bioimaging, neural engineering. ABET-accredited."
,,,Chemical Engineering (B.S.E.),12.00%,"Large-scale chemical and biochemical processes — thermodynamics, reaction kinetics, transport phenomena, and process design. ABET-accredited."
,,,Civil Engineering (B.S.E.),13.50%,"Structural, geotechnical, hydraulic, transportation, and construction engineering for design and management of the built environment. ABET-accredited."
,,,Climate and Atmospheric Science (B.S.E.),13.80%,"Earth's atmosphere and climate system — meteorology, climatology, atmospheric dynamics, and remote sensing. Administered by CLaSP."
,,,Computer Engineering (B.S.E.),9.80%,"Electrical engineering and computer science combined — hardware-software integration, embedded systems, digital design, and architecture. ABET-accredited."
,,,Computer Science (B.S.E.),9.00%,"Algorithms, data structures, software systems, programming languages, and theoretical CS. Offered through EECS; distinct from the LSA CS major."
,,,Data Science (B.S.E.),10.50%,"Interdisciplinary engineering major combining statistics, machine learning, and computational methods. Offered through EECS."
,,,Electrical Engineering (B.S.E.),11.00%,"Circuits, electronics, signals and systems, electromagnetics, control, power systems, and communications. ABET-accredited."
,,,Engineering Physics (B.S.E.),12.50%,Rigorous mathematical physics with engineering applications. Administered by Nuclear Engineering & Radiological Sciences.
,,,Environmental Engineering (B.S.E.),13.50%,"Air, water, and soil quality engineering — water treatment, environmental fluid dynamics, earth systems, and environmental policy. ABET-accredited."
,,,Global Health Engineering (B.S.E.),12.80%,"Engineering tools and systems thinking for global health challenges in low-resource settings — disease surveillance, water/sanitation systems, and health technologies."
,,,Industrial and Operations Engineering (B.S.E.),10.00%,"IOE — design and optimization of complex human–machine systems using operations research, statistics, ergonomics, and systems analysis. ABET-accredited."
,,,Materials Science and Engineering (B.S.E.),13.00%,"Structure, properties, processing, and performance of metals, ceramics, polymers, and composites. ABET-accredited."
,,,Mechanical Engineering (B.S.E.),10.50%,"Thermal and fluid sciences, solid mechanics and materials, dynamics and controls, and design. ABET-accredited."
,,,Naval Architecture and Marine Engineering (B.S.E.),14.00%,"Ship and ocean structure design, stability, hydrodynamics, and propulsion systems. ABET-accredited."
,,,Nuclear Engineering and Radiological Sciences (B.S.E.),13.50%,"Nuclear reactions, radiation, plasma physics — energy generation, medical imaging, radiation safety, and national security. ABET-accredited."
,,,Robotics (B.S.E.),9.50%,"Interdisciplinary major combining ME, EE, and CS for autonomous machines that sense, reason, and act. Michigan's Robotics Institute offers one of the first standalone Robotics BSE programs in the U.S."
,,,Space Science and Engineering (B.S.E.),12.00%,"Space environment, spacecraft systems, and space physics — heliophysics, magnetospheric dynamics, and mission design. Administered by CLaSP."
,,Stephen M. Ross School of Business,Bachelor of Business Administration (BBA),8.50%,"Four-year professional degree covering all core business disciplines — financial and managerial accounting, applied economics, financial management, marketing, business analytics and statistics, operations, business law and ethics, behavioral theory, communication, and strategy. Informal areas of study: Accounting; Business Communication; Business Economics and Public Policy; Business Law; Entrepreneurship; Finance and Banking; Management and Organizations; Marketing; Nonprofit and Social Impact; Sales; Strategy; Supply Chain Management; Technology and Operations."
,,Penny W. Stamps School of Art & Design,Art & Design (B.F.A.),17.00%,"Studio-intensive professional degree — roughly 75% studio coursework. Mastery of technique across graphic design, illustration, animation, ceramics, painting, printmaking, textile design, and product design within an integrated Art & Design framework."
,,,Art & Design (B.A.),18.00%,Liberal-arts degree with roughly half studio and half academic coursework — for students who plan graduate professional school in a non-art field or want broader intellectual study alongside studio practice.
,,Taubman College of Architecture and Urban Planning,Architecture (B.S. Arch.),16.00%,"Four-year pre-professional degree centered on design studios with architectural history and theory, building technology, structures, environmental systems, and professional practice. Pathway to the M.Arch."
,,,Urban Technology (B.S.),13.00%,"Combines urbanism, technology, and design — Cities Intensive foundational courses, three coding courses, and four sequential design studios at the intersection of digital and physical urban environments."
,,School of Information,Information (B.S.I.) — Information Analysis,N/A first-year; preferred/upper-level pathway,"Data science, statistical analysis, and data visualization, bridging technical and organizational roles in information systems."
,,,Information (B.S.I.) — User Experience Design,N/A first-year; preferred/upper-level pathway,"Human-centered design of interactive products and services — UX research methods, prototyping, and usability evaluation."
,,School of Kinesiology,Applied Exercise Science (B.S.),18.50%,"Physiological and biomechanical responses to exercise and physical activity for clinical settings, cardiac rehabilitation, fitness assessment, and health promotion."
,,,Movement Science (B.S.),16.50%,"Human movement — biomechanics, motor behavior, exercise physiology, and neuroscience. Optional Intraoperative Neuromonitoring concentration. Preparation for PT/OT, research, medicine, and athletics."
