University,U.S. News Rankings,College,Majors in that college,College Specific Acceptance Rate,Description for Majors
University of Pennsylvania,7,College of Arts and Sciences (CAS),Africana Studies,6.80%,"Interdisciplinary study of the histories, cultures, politics, and intellectual traditions of African and African-diasporic peoples."
,,,Ancient History,7.10%,"Study of the political, social, and cultural history of the ancient Mediterranean and Near East."
,,,Anthropology,6.50%,"Study of human societies, cultures, and biological evolution."
,,,Architecture,5.90%,"Liberal-arts study of the built environment combining design, history, and theory; a preprofessional pathway to graduate study in architecture."
,,,Biochemistry,5.00%,Study of the molecular basis of life at the intersection of biology and chemistry.
,,,Bioethics,6.00%,"Interdisciplinary study of ethical questions in medicine, biotechnology, and the life sciences."
,,,Biology,4.90%,"Broad study of living systems from molecules and cells to organisms, populations, and ecosystems."
,,,Biophysics,5.00%,Application of physical principles and quantitative methods to biological systems.
,,,Chemistry,5.40%,"Study of matter and its transformations across organic, inorganic, physical, and analytical chemistry."
,,,Cinema and Media Studies,6.20%,"Critical study of film, television, and digital media as cultural forms."
,,,Classical Studies,7.10%,"Study of the languages, literatures, history, and material culture of ancient Greece and Rome."
,,,Cognitive Science,5.10%,"Interdisciplinary study of mind and intelligence drawing on psychology, neuroscience, linguistics, philosophy, and computer science."
,,,Communication,5.20%,"Study of communication processes, media, organizations, and culture (through the Annenberg School for Communication)."
,,,Comparative Literature,6.80%,Cross-linguistic and cross-cultural study of literature with emphasis on theory and translation.
,,,Criminology,5.60%,"Study of crime, criminal justice, and social responses to crime, with strong empirical methods training."
,,,Design,5.70%,"Studio-based major focused on design thinking, visual communication, and the design of objects, environments, and systems."
,,,Digital Humanities,6.50%,Interdisciplinary major applying computational and digital methods to humanistic inquiry.
,,,Earth and Environmental Science,6.10%,"Study of Earth's physical processes, materials, and history, including the climate system."
,,,East Asian Languages and Civilizations,6.90%,"Study of the languages, literatures, and civilizations of China, Japan, Korea, and the broader region."
,,,Economics,4.80%,"Study of how individuals, firms, and societies allocate resources."
,,,English,6.40%,Study of literatures in English across periods and genres.
,,,Environmental Studies,6.20%,Interdisciplinary major combining environmental science with policy and the humanities.
,,,Fine Arts,6.10%,"Studio major in painting, drawing, sculpture, photography, printmaking, video, and digital media."
,,,"Francophone, Italian and Germanic Studies",7.10%,"Study of the languages, literatures, and cultures of France, Francophone regions, Italy, and the German-speaking world."
,,,"Gender, Sexuality and Women's Studies",6.80%,"Interdisciplinary study of gender, sexuality, and their intersections with race, class, and power."
,,,Health and Societies,5.20%,"Interdisciplinary major examining health, medicine, and society through history, the social sciences, and policy."
,,,Hispanic Studies,6.90%,Study of Spanish language and the literatures and cultures of Spain and Latin America.
,,,History,6.40%,"Study of the human past across periods, regions, and themes."
,,,History of Art,6.70%,Critical and historical study of works of art and visual culture.
,,,Individualized Major,5.80%,Faculty-approved self-designed major combining coursework across departments in a coherent program.
,,,International Relations,5.00%,"Interdisciplinary major in global politics, economics, history, and international institutions."
,,,Jewish Studies,7.00%,"Interdisciplinary study of Jewish history, texts, languages, religion, and culture."
,,,Latin American and Latinx Studies,6.80%,"Interdisciplinary study of the histories, cultures, politics, and societies of Latin America and U.S. Latinx communities."
,,,Law and Society,5.40%,"Interdisciplinary major examining law as a social, historical, and intellectual phenomenon."
,,,Linguistics,6.00%,"Scientific study of language structure, meaning, sound, and acquisition."
,,,"Logic, Information and Computation",5.10%,"Interdisciplinary major combining logic, mathematics, computer science, and philosophy of information."
,,,Mathematical Economics,4.50%,Joint major coupling advanced mathematics with economic theory and econometrics.
,,,Mathematics,5.30%,"Pure and applied mathematics including analysis, algebra, geometry, and topology."
,,,Middle Eastern Languages and Cultures,7.00%,"Study of the languages, literatures, and cultures of the Middle East and North Africa."
,,,Music,6.70%,"Study of music history, theory, ethnomusicology, composition, and performance."
,,,Neuroscience,4.70%,"Study of the nervous system across molecular, cellular, systems, cognitive, and behavioral levels."
,,,Nutrition Science,5.50%,"Study of human nutrition, dietetics, and the science of food and health (offered jointly with the School of Nursing)."
,,,Philosophy,6.40%,"Study of fundamental questions in metaphysics, epistemology, ethics, logic, and the history of philosophy."
,,,"Philosophy, Politics and Economics (PPE)",4.80%,"Penn's signature interdisciplinary PPE major examining political and social questions through philosophical, political, and economic analysis."
,,,Physics,5.40%,"Rigorous study of classical mechanics, electromagnetism, quantum mechanics, statistical mechanics, and contemporary physics."
,,,Political Science,5.10%,"Study of political institutions, behavior, theory, and international relations."
,,,Psychology,5.00%,"Scientific study of mind and behavior across cognitive, developmental, social, clinical, and biological psychology."
,,,Religious Studies,7.00%,"Comparative and historical study of religious traditions, texts, and practices."
,,,Russian and East European Studies,7.10%,"Interdisciplinary study of the languages, cultures, and societies of Russia and Eastern Europe."
,,,"Science, Technology and Society (STSC)",5.90%,"Interdisciplinary study of how science and technology develop and shape society, drawing on history, philosophy, and social studies."
,,,Sociology,6.40%,"Study of social structure, inequality, institutions, and change with empirical methods training."
,,,South Asia Studies,7.10%,"Interdisciplinary study of the languages, histories, religions, and cultures of South Asia."
,,,Theatre Arts,6.60%,"Study of theater as text and performance, including dramatic literature, history, acting, directing, and design."
,,,Urban Studies,6.00%,"Interdisciplinary study of cities and urbanization drawing on planning, sociology, history, and policy."
,,,Visual Studies,6.30%,"Interdisciplinary major examining visual culture, perception, and image-making across art, science, and media."
,,School of Engineering and Applied Science (Penn Engineering / SEAS),Artificial Intelligence (BSE),4.00%,"BSE major focused on the foundations and applications of AI, including machine learning, reasoning, and intelligent systems."
,,,Bioengineering (BSE),4.50%,"Application of engineering principles to medicine and biology, including biomechanics, biomaterials, imaging, and biotechnology."
,,,Chemical and Biomolecular Engineering (BSE),4.90%,"Engineering of chemical and biomolecular processes for energy, materials, pharmaceuticals, and the environment."
,,,Computer Engineering (BSE),4.20%,"Joint program covering hardware-software integration, digital systems, embedded systems, and computer architecture."
,,,Computer Science (BSE),3.90%,"Engineering-degree CS major covering algorithms, systems, theory, AI, and software."
,,,Digital Media Design (BSE),3.80%,"Penn's signature DMD program combining computer graphics, animation, and computer science with fine arts."
,,,Electrical Engineering (BSE),4.50%,"Study of circuits, signals, communications, control, electromagnetics, and electronic systems."
,,,Materials Science and Engineering (BSE),5.00%,"Study of the structure, properties, and processing of metals, ceramics, polymers, semiconductors, and nanomaterials."
,,,Mechanical Engineering and Applied Mechanics (BSE),4.70%,"Study of mechanics, thermodynamics, fluids, materials, design, robotics, and manufacturing."
,,,Networked & Social Systems Engineering (NETS) (BSE),3.70%,"Penn signature major combining computer science, economics, sociology, and network theory to study large-scale networked systems."
,,,Systems Science and Engineering (BSE),4.80%,"Engineering of complex systems combining modeling, optimization, and decision-making across technical and social domains."
,,,Biomedical Science (BAS),4.80%,"Bachelor of Applied Science focused on biomedical science for students interested in medicine, biotechnology, and translational research."
,,,Computational Biology (BAS),4.30%,"Bachelor of Applied Science combining biology, computer science, and statistics to analyze biological data."
,,,Computer and Cognitive Science (BAS),4.10%,Penn signature BAS combining computer science with cognitive science and psychology.
,,,Computer Science (BAS),4.20%,Bachelor of Applied Science in CS allowing more breadth in the liberal arts than the BSE.
,,The Wharton School (BS in Economics with concentrations),Accounting,4.40%,"Concentration covering financial accounting, managerial accounting, audit, and corporate financial reporting."
,,,Artificial Intelligence for Business,3.80%,Concentration on the use of AI and machine learning in business decision-making.
,,,Behavioral Economics,4.20%,"Concentration examining how psychological, social, and cognitive factors shape economic decisions."
,,,Business Analytics,3.90%,"Concentration focused on data-driven decision-making, predictive modeling, and analytics in business."
,,,Business Economics & Public Policy,4.30%,Concentration examining the role of business in public policy and the economic analysis of regulation.
,,,Entrepreneurship & Innovation,4.10%,"Concentration in venture creation, innovation strategy, and entrepreneurial finance."
,,,"Environmental, Social and Governance Factors for Business (ESG)",4.50%,"Concentration with specializations in Business, Energy & Environment, and Social & Governance topics."
,,,Finance,3.70%,"Concentration covering corporate finance, investments, financial markets, and quantitative finance."
,,,Health Care Management & Policy,4.10%,"Concentration on management, economics, and policy of health-care delivery and the health-care industry."
,,,Individualized,4.40%,Self-designed concentration allowing students to combine coursework across Wharton departments.
,,,Leading Across Differences,4.60%,"Concentration focused on leadership, inclusion, and managing diverse organizations."
,,,Legal Studies & Business Ethics,4.30%,"Concentration on law, ethics, and regulation as they affect business decisions and corporate responsibility."
,,,Management,4.40%,"Concentration with specializations in Multinational Management, Organizational Effectiveness, and Strategic Management."
,,,Marketing,4.20%,"Concentration covering consumer behavior, marketing strategy, brand management, and analytics."
,,,Marketing & Communication,4.10%,Joint concentration combining marketing with the Annenberg School's communication coursework.
,,,Marketing & Operations Management,4.00%,Joint concentration combining marketing with operations and supply-chain analytics.
,,,"Operations, Information & Decisions",3.90%,"Concentration with tracks in Decision Processes, Information Systems, and Operations Management."
,,,Real Estate,4.20%,"Concentration on real-estate finance, investment, development, and markets."
,,,Retailing,4.60%,"Concentration on the retail industry, e-commerce, and retail strategy."
,,,Statistics,3.90%,Concentration in statistics and data analysis with applications across business.
,,School of Nursing,Bachelor of Science in Nursing (BSN),9.00%,"Penn Nursing's direct-entry four-year BSN preparing students for licensure as registered nurses, with clinical experience across primary care, acute care, women's health, pediatrics, and mental health."
,,,Nutrition Science (second major for Nursing students),9.00%,Joint program with the College allowing Nursing students to add a Nutrition Science major focused on human nutrition and dietetics.
