University,US NEWS Ranking,College,Majors in that college,College Specific Acceptance Rate,Description for Majors
Yale,4,Yale College,,Yale college,
,,,African Studies (B.A.),8–9%,"Interdisciplinary study of the languages, history, politics, and cultures of the African continent"
,,,American Studies (B.A.),6–7%,"Interdisciplinary examination of the culture, history, and society of the United States"
,,,Anthropology (B.A.),5–6%,"Study of human societies, cultures, and biological development across time and place"
,,,Applied Mathematics (B.A. or B.S.),4–5%,"Use of mathematical theory and methods to solve problems in science, engineering, and beyond"
,,,Applied Physics (B.S.),4–5%,Application of physics principles to engineering problems and emerging technologies
,,,Archaeological Studies (B.A.),8–9%,Study of past human societies through their material remains and interdisciplinary methods
,,,Architecture (B.A.),5–6%,"Study of the design, history, and theory of the built environment"
,,,Art (B.A.),7–9%,"Studio-based study of artistic practice across media such as painting, sculpture, and photography"
,,,Astronomy (B.A.),6–7%,Study of celestial objects and the physical processes of the universe
,,,Astrophysics (B.S.),4–5%,"Physics-intensive study of the structure, formation, and evolution of stars, galaxies, and the cosmos"
,,,Biomedical Engineering (B.S.),3–4%,"Application of engineering principles to medicine, biology, and human health"
,,,Black Studies (B.A.),7–8%,"Interdisciplinary study of the histories, cultures, and experiences of people of African descent"
,,,Chemical Engineering (B.S.),5–6%,Engineering that applies chemistry and physics to design processes that transform materials
,,,Chemistry (B.A. or B.S.),5–6%,"Study of the composition, structure, properties, and reactions of matter"
,,,Classical Civilization (B.A.),8–9%,"Study of ancient Greek and Roman culture, literature, and history in translation"
,,,Classics (B.A.),7–8%,"Study of the languages, literature, and history of ancient Greece and Rome"
,,,Cognitive Science (B.A. or B.S.),4–5%,"Interdisciplinary study of the mind, drawing on psychology, philosophy, linguistics, and computer science"
,,,Comparative Literature (B.A.),6–7%,"Study of literature across languages, cultures, and traditions, with emphasis on theory and translation"
,,,Computer Science (B.A. or B.S.),3–4%,"Study of computation, algorithms, software systems, and their applications"
,,,Computer Science and Economics (B.S.),3–4%,"Combined study of computation and economic theory, including markets and incentives"
,,,Computer Science and Mathematics (B.S.),3–4%,Combined major joining computational methods with rigorous mathematical theory
,,,Computer Science and Psychology (B.A.),4–5%,"Combined study of computation and the science of mind, cognition, and behavior"
,,,Computing and Linguistics (B.A. or B.S.),4–5%,Joins computer science with the scientific study of language
,,,Computing and the Arts (B.A.),5–6%,"Combines computer science with creative practice in art, music, or design"
,,,Earth and Planetary Sciences (B.A. or B.S.),6–7%,"Study of the Earth, planets, and the processes shaping them"
,,,East Asian Languages and Literatures (B.A.),8–10%,"Study of the languages and literary traditions of China, Japan, and Korea"
,,,East Asian Studies (B.A.),6–7%,"Interdisciplinary study of the societies, politics, and cultures of East Asia"
,,,Ecology and Evolutionary Biology (B.A. or B.S.),5–6%,"Study of organisms, their interactions, and the processes of evolution"
,,,Economics (B.A.),3–4%,"Study of how individuals, firms, and societies allocate resources and respond to incentives"
,,,Economics and Mathematics (B.A.),4–5%,Combined major applying rigorous mathematics to economic theory and analysis
,,,Electrical Engineering (B.S.),4–5%,"Study of electrical systems, circuits, signals, and electronic devices"
,,,Electrical Engineering and Computer Science (B.S.),3–4%,"Combined major spanning hardware, electronics, and computational systems"
,,,Engineering Sciences (Chemical) (B.S.),5–6%,Broad engineering degree emphasizing chemical processes and applications
,,,Engineering Sciences (Electrical) (B.A. or B.S.),5–6%,Broad engineering degree emphasizing electrical systems and devices
,,,Engineering Sciences (Environmental) (B.A.),6–7%,Engineering focused on environmental systems and sustainability challenges
,,,Engineering Sciences (Mechanical) (B.A. or B.S.),5–6%,Broad engineering degree emphasizing mechanical systems and design
